,Abrangência/ Cobertura,Assunto/ palavras-chave,Autor,Data,Descrição,Fonte,Identifier,Título
127,Brasil > Goiás,Interiores > Objeto de Iluminação||05 Interiores > 05.4 Objeto de Iluminação||Acervo Museológico||Religioso,Não identificado,1983||Século XVIII,"Base redonda com frisos. Haste torneada com discos, bolachas e torcido. Campânula redonda com frisos. Sucena com bolachas e discos. ",Igreja de Nossa Senhora do Pilar de Ouro Fino,05.04.12||83.060/030.227,Luminária||Castiçal
128,Brasil > Goiás,Interiores > Objeto de Iluminação||05 Interiores > 05.4 Objeto de Iluminação||Acervo Museológico||Religioso,Não identificado,1983||Século XVIII,"Base redonda com frisos. Haste torneada com discos, bolachas e torcido. Campânula redonda com frisos. Sucena com bolachas e discos. ",Igreja de Nossa Senhora do Pilar de Ouro Fino,05.04.11||83.059/030.226,Luminária||Castiçal
129,Brasil,Insígnias > Heráldica (Armas Imperiais)||08 Insígnias||Acervo Museológico,Não identificado,Déc. 1950/60||Século XIX,"Armas Imperiais Brasileiras, ladeada por ramos de café e fumo. Cor natural. Na parte superior Coroa Imperial encimada por uma cruz.",Palácio Conde dos Arcos,08.02||83.058/030.225,Brasão||Brasão do Império
130,Brasil > Goiás,Objetos Cerimoniais > Objeto Comemorativo||09 Objetos Cerimoniais > 09.2 Objeto Comemorativo||Acervo Museológico||Astronomia,Não identificado,1983||Século XIX,"Forma retangular, trazendo entalhado as seguintes inscrições: “Observatorio Astronomico / Presidencia do Sr. Brigadeiro / Felicissimo do Espirito Santo / Executor do Exmo. / Dr. Julio [Alves da?] Cunha / 10 de Dezembro de 1889”",Prefeitura Municipal de Goiás,09.02.02||83.057/030.224,Pedra Fundamental||Pedra Fundamental de inauguração do Observatório Astronômico
131,Não identificado,Comunicação > Equipamento de Telecomunicação||10 Comunicação > 10.4 Equipamento de Telecomunicação||Acervo Museológico||Ciência | Tecnologia,Não identificado,1983||Século XX,"Base quadrangular, tendo um estreitamento nas laterais, em uma delas saem 02 fios, sendo um para o fone e outro para a tomada. Ao fundo 04 pés e buracos para as duas campainhas. Em cima disco de metal prateado. Números: 1, 2, 3, 4, 5, 6, 7, 8, 9, 0 pintados de branco e gancho com dois pinos que se abaixam quando o fone é colocado. Tomada retangular. Etiqueta: Telecomunicações de São Paulo S.A. Telesp. Histórico do aparelho telefônico: nº tel: 661955 / nº vest: 725 794 771 / nº do talão de cobrança 546649 / Carimbo almox. 09016. Baldi.",Não identificada,10.4.09||83.056/030.223,Telefone||Telefone
132,Não identificado,Comunicação > Equipamento de Telecomunicação||10 Comunicação > 10.4 Equipamento de Telecomunicação||Acervo Museológico||Ciência | Tecnologia,Não identificado,1983||Século XX > 1977,"Base retangular com a parte superior menos larga. Frente com disco de metal com o nº 278801. Suporte arredondado com dois pinos no meio para o descanso do fone. Telefone de parede. Na parte mais estreita sai um fio de um dos lados, onde era introduzido no fone. Etiqueta: Telecomunicações de São Paulo S.A. Telesp. Histórico do Aparelho Telefônico / Nº do tel. 2788011 / Descrição dos defeitos constatados: bocal e anel do [ilegível], data da substituição 13/06/77, nº ref. reparador 36537, nº série emane: 2954, nº talão de cobrança 643612, nº dos itens cobrados, 14.30. Carimbo almox. 09012 – Paraíso.",Telegoiás,10.4.08||83.056/030.222,Telefone||Telefone de parede
133,Não identificado,Comunicação > Equipamento de Telecomunicação||10 Comunicação > 10.4 Equipamento de Telecomunicação||Acervo Museológico||Ciência | Tecnologia,Não identificado,1983||Século XX > 1970,"Base retangular com cantos arredondados. Caixa lisa com frisos, com dois pinos para o descanso do fone. Da parte posterior saem dois fios, um para o fone e outro para a tomada. Na lateral esquerda orifício para manivela. Tomada redonda.",Telegoiás,10.4.07||83.055/030.221,Telefone||Telefone de extensão
134,Estados Unidos da América,Comunicação > Equipamento de Telecomunicação||10 Comunicação > 10.4 Equipamento de Telecomunicação||Acervo Museológico||Ciência | Tecnologia,Northern Eletric Company Limited,1983||Século XX > 1915,"Base retangular, caixa quadrada, 02 dobradiças, 02 campainhas. Da caixa sai um fio. Parte para o fone metálico, parte inferior arredondada, haste vertical com gancho e parte superior arredondado encaixada na haste, gancho serve de suporte para o aparelho auditivo, a esquerda da caixa uma manivela.",Telegoiás,10.4.06||83.054/030.220,Telefone||Telefone de parede
135,Não identificado,Trabalho > Acessório de Transporte Terrestre||11 Transporte > 11.3 Acessório de Transporte Terrestre||Acervo Museológico,Não identificado,26/09/1952||Século XIX,"Haste em curva trabalhada em alto relevo com bolotas de carvalho. Furos nas pontas. No centro da haste está fixado o suporte para a espora, também trabalhado.",Umbelino Galvão de Moura Lacerda,11.3.02||83.054/030.219,Espora||Espora
136,Não identificado,Interiores > Utensílio de Cozinha/Mesa||05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Acervo Museológico,Não identificado,1954||Não identificada,"Gargalho liso unido ao bojo por círculo de pérola, no bojo em alto relevo, trabalho imitando concha que se repete na tampa. Base com decoração canelada.",Aida Botelho Ramos Jubé,05.06.13||83.054/030.218,Jarra||Licoreira
137,Brasil > Goiás,Comunicação > Documento||10 Comunicação > 10.1 Documento||Acervo Museológico||Cartografia,Manoel Ribeiro Guimarães,1983||Século XVIII > 1782,"Planta de Villa Boa de Goyaz, tendo abaixo desenho do Palácio dos Governadores e 06 figuras com o uniforme das companhias militares existentes na vila, acima faixa com especificação dos logradouros públicos, ruas, becos, travessas, principais edificações e igrejas.",Delegacia Fiscal,10.1.02||83.053/030.217,Mapa||Planta de Villa Boa
138,Brasil > Goiás,Objetos Pessoais > Objeto de Adorno||12 Objetos Pessoais > 12.5 Objeto de Adorno||Acervo Museológico||Ourivesaria,João Ferreira de Lima,14/08/1969||Século XX > 1960,"03 aros, 1º liso com mão estendida, o do meio com extremidade tremida com coração no centro. O 3º liso com mão em posição de segurar. Fechado as mãos se cumprimentam, encobrindo o coração.",Regina Lacerda,12.5.01||83.052/030.216,Anel||Anel
139,Não identificado,Comunicação > Equipamento de Comunicação Escrita||10 Comunicação > 10.2 Equipamento de Comunicação Escrita||Acervo Museológico,Não identificado,Déc. 1950/60||Século XVIII,Metal cinzelado composto de 04 corpos côncavos assimetricamente recortados e entrelaçados com decoração profusa de bolotas e folhas de carvalho. Contém duas cavidades para tinta e um porta pena.,Eurico da Veiga Jardim Filho,10.2.03||83.051/030.215,Tinteiro||Tinteiro-Escrivaninha
140,Não identificado,Trabalho > Equipamento de Artistas/Artesãos||06 Trabalho > 06.3 Equipamento de Artistas/Artesãos||Acervo Museológico,Não identificado,1972||Século XIX,"Forma circular, com a boca mais larga, alças nas laterais.","Cemitério São Miguel, Cidade de Goiás.",06.03.04||83.051/030.214,Tacho||Tacho de Veiga Valle
141,Não identificado,Interiores > Utensílio de Cozinha/Mesa||05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Acervo Museológico,Não identificado,1954||Século XIX,"Filtro em pedra porosa, quadrado com fundo arredondado com relevo. Tampa pintada de verde com quatro respiradouros beges. Pegador em forma de maçaneta. Armação: 04 pés unidos por 03 “x” decorados por 02 “cc” acostados, todas as extremidades são torcidas.",Luiz Astolpho Amorim,05.06.12||83.050/030.213,Filtro||Filtro de pedra
142,Brasil > Piauí,Objetos Pessoais > Artigo de Viagem/Campanha||12 Objetos Pessoais > 12.4 Artigo de Viagem/Campanha||Acervo Museológico,Não identificado,Déc. 1960||Século XIX,"Copo de chifre, com a superfície mais alargada, em forma de cone. Dois tons naturais e com realce de linhas e escritas em marrom escuro. Alça anexada em um anel de chifre sobreposto na extremidade do copo. No centro da alça um aro de metal arredondado encostado no chifre.",Francisca Machado Cupertino,12.4.01||83.049/030.212,Copo||Copo (guampa)
143,Não identificado,Comunicação > Equipamento de Comunicação Escrita||10 Comunicação > 10.2 Equipamento de Comunicação Escrita||Acervo Museológico,Não identificado,1983||Não identificada,"Base em semicírculo de boca mais alargada. Tampa em forma de sino com incisos, e borda canelada com pegador na parte superior. No fundo um furo arredondado.",Não identificada,10.2.02||83.048/030.211,Tinteiro||Tinteiro
144,Não identificado,Comunicação > Equipamento de Comunicação Escrita||10 Comunicação > 10.2 Equipamento de Comunicação Escrita||Acervo Museológico,Não identificado,1983||Não identificada,"Tinteiro de louça inglesa, cor branco, motivos florais na parte frontal. Peça inteiriça, com quatro suportes servindo de pés, com 02 portas tintas circundados com aro de metal e 01 porta penas na parte central.",Não identificada,10.2.01||83.047/030.210,Tinteiro||Tinteiro
145,Inglaterra,Interiores > Acessório de Interiores||05 Interiores > 05.1 Acessório de Interiores||Acervo Museológico,Royal Doulton,01/03/1954||Não identificada,"Caneca de louça inglesa, arredondado, com 02 alças, tendo o encaixe da tampa em verde e marrom, o corpo em tons verde, amarelo, cinza e marrom, com desenhos formando paisagem de um castelo. Com inscrição: “Bodiam Castle”.",Diva Gonzaga de Siqueira,05.01.04||83.046/030.209,Caneca||Caneca
146,Não identificado,Caça/Guerra > Arma branca de choque||01 Caça e Guerra > 01.2 Arma||Acervo Museológico||Arma,Não identificado,01/11/1953||Não identificada,"Lâmina irregular, guarda em travessa terminada em volutas e com suporte para punho.",José de Castro Berquó,01.02.01||83.045/030.208,Sabre||Sabre
147,Brasil > Goiás,Caça/Guerra > Munição e Acessório||01 Caça e Guerra > 01.4 Munição e Acessório||Acervo Museológico||Etnográfico,Não identificado,Déc. 1960||Não identificada,"Haste de bambu, com terminação da mesma fibra vegetal e pena na extremidade. Corte para o encaixe do arco.",Não identificada,01.04.01||83.044/030.182,Flecha||Flecha
148,Brasil > Goiás,Caça/Guerra > Munição e Acessório||01 Caça e Guerra > 01.4 Munição e Acessório||Acervo Museológico||Etnográfico,Não identificado,Déc. 1960||Não identificada,Haste de bambu com terminação de pena. Na extremidade corte para encaixe do arco.,Não identificada,01.04.26||83.044.XXV/030.207,Flecha||Flecha
149,Brasil > Goiás,Caça/Guerra > Munição e Acessório||01 Caça e Guerra > 01.4 Munição e Acessório||Acervo Museológico||Etnográfico,,Déc. 1960||Não identificada,Haste de bambu com terminação de pena. Na extremidade corte para encaixar o arco.,Não identificada,01.04.25||83.044.XXIV/030.206,Flecha||Flecha
150,Brasil > Goiás,Caça/Guerra > Munição e Acessório||01 Caça e Guerra > 01.4 Munição e Acessório||Acervo Museológico||Etnográfico,,Déc. 1960||Não identificada,Haste de bambu com terminação de pena. Na extremidade corte para encaixe do arco.,Não identificada,01.04.24||83.044.XXIII/030.205,Flecha||Flecha
151,Brasil > Goiás,Caça/Guerra > Munição e Acessório||01 Caça e Guerra > 01.4 Munição e Acessório||Acervo Museológico||Etnográfico,,Déc. 1960||Não identificada,"Haste de bambu, com terminação da mesma fibra vegetal e pena na extremidade. Corte para o encaixe do arco.",Não identificada,01.04.23||83.044.XXII/030.204,Flecha||Flecha
152,Brasil > Goiás,Caça/Guerra > Munição e Acessório||01 Caça e Guerra > 01.4 Munição e Acessório||Acervo Museológico||Etnográfico,,Déc. 1960||Não identificada,"Haste de bambu, com terminação da mesma fibra vegetal e pena na extremidade. Corte para o encaixe do arco.",Não identificada,01.04.22||83.044.XXI/030.203,Flecha||Flecha
153,Brasil > Goiás,Caça/Guerra > Munição e Acessório||01 Caça e Guerra > 01.4 Munição e Acessório||Acervo Museológico||Etnográfico,,Déc. 1960||Não identificada,"Haste de bambu, com terminação da mesma fibra vegetal e pena na extremidade. Corte para o encaixe do arco.",Não identificada,01.04.21||83.044.XX/030.202,Flecha||Flecha
154,Brasil > Goiás,Caça/Guerra > Munição e Acessório||01 Caça e Guerra > 01.4 Munição e Acessório||Acervo Museológico||Etnográfico,,Déc. 1960||Não identificada,"Haste de bambu, com terminação da mesma fibra vegetal e pena na extremidade. Corte para o encaixe do arco.",Não identificada,01.04.19||83.044.XVIII/030.200,Flecha||Flecha
155,Brasil > Goiás,Caça/Guerra > Munição e Acessório||01 Caça e Guerra > 01.4 Munição e Acessório||Acervo Museológico||Etnográfico,,Déc. 1960||Não identificada,"Haste de bambu, com terminação da mesma fibra vegetal e pena na extremidade. Corte para o encaixe do arco.",Não identificada,01.04.18||83.044.XVII/030.199,Flecha||Flecha
156,Brasil > Goiás,Caça/Guerra > Munição e Acessório||01 Caça e Guerra > 01.4 Munição e Acessório||Acervo Museológico||Etnográfico,,Déc. 1960||Não identificada,"Haste de bambu, com terminação da mesma fibra vegetal e pena na extremidade. Corte para o encaixe do arco.",Não identificada,01.04.17||83.044.XVI/030.198,Flecha||Flecha
157,Brasil > Goiás,Caça/Guerra > Munição e Acessório||01 Caça e Guerra > 01.4 Munição e Acessório||Acervo Museológico||Etnográfico,,Déc. 1960||Não identificada,"Haste de bambu, com terminação da mesma fibra vegetal e pena na extremidade. Corte para o encaixe do arco.",Não identificada,01.04.16||83.044.XV/030.197,Flecha||Flecha
158,Brasil > Goiás,Caça/Guerra > Munição e Acessório||01 Caça e Guerra > 01.4 Munição e Acessório||Acervo Museológico||Etnográfico,,Déc. 1960||Não identificada,"Haste de bambu, com terminação da mesma fibra vegetal e pena na extremidade. Corte para o encaixe do arco.",Não identificada,01.04.20||83.044.XIX/030.201,Flecha||Flecha
159,Brasil > Goiás,Caça/Guerra > Munição e Acessório||01 Caça e Guerra > 01.4 Munição e Acessório||Acervo Museológico||Etnográfico,,Déc. 1960||Não identificada,"Haste de bambu, com terminação da mesma fibra vegetal e pena na extremidade. Corte para o encaixe do arco.",Não identificada,01.04.15||83.044.XIV/030.196,Flecha||Flecha
160,Brasil > Goiás,Caça/Guerra > Munição e Acessório||01 Caça e Guerra > 01.4 Munição e Acessório||Acervo Museológico||Etnográfico,,Déc. 1960||Não identificada,"Haste de bambu, com terminação da mesma fibra vegetal e pena na extremidade. Corte para o encaixe do arco.",Não identificada,01.04.14||83.044.XIII/030.195,Flecha||Flecha
161,Brasil > Goiás,Caça/Guerra > Munição e Acessório||01 Caça e Guerra > 01.4 Munição e Acessório||Acervo Museológico||Etnográfico,,Déc. 1960||Não identificada,"Haste de bambu, com terminação da mesma fibra vegetal e pena na extremidade. Corte para o encaixe do arco.",Não identificada,01.04.13||83.044.XII/030.194,Flecha||Flecha
162,Brasil > Goiás,Caça/Guerra > Munição e Acessório||01 Caça e Guerra > 01.4 Munição e Acessório||Acervo Museológico||Etnográfico,,Déc. 1960||Não identificada,"Haste de bambu, com terminação da mesma fibra vegetal e pena na extremidade. Corte para o encaixe do arco.",Não identificada,01.04.12||83.044.XI/030.193,Flecha||Flecha
163,Brasil > Goiás,Caça/Guerra > Munição e Acessório||01 Caça e Guerra > 01.4 Munição e Acessório||Acervo Museológico||Etnográfico,,Déc. 1960||Não identificada,"Haste de bambu, com terminação da mesma fibra vegetal e pena na extremidade. Corte para o encaixe do arco.",Não identificada,01.04.11||83.044.X/030.192,Flecha||Flecha
164,Brasil > Goiás,Caça/Guerra > Munição e Acessório||01 Caça e Guerra > 01.4 Munição e Acessório||Acervo Museológico||Etnográfico,,Déc. 1960||Não identificada,"Haste de bambu, com terminação da mesma fibra vegetal e pena na extremidade. Corte para o encaixe do arco.",Não identificada,01.04.09||83.044.VIII/030.190,Flecha||Flecha
165,Brasil > Goiás,Caça/Guerra > Munição e Acessório||01 Caça e Guerra > 01.4 Munição e Acessório||Acervo Museológico||Etnográfico,,Déc. 1960||Não identificada,"Haste de bambu, com terminação da mesma fibra vegetal e pena na extremidade. Corte para o encaixe do arco.",Não identificada,01.04.08||83.044.VII/030.189,Flecha||Flecha
166,Brasil > Goiás,Caça/Guerra > Munição e Acessório||01 Caça e Guerra > 01.4 Munição e Acessório||Acervo Museológico||Etnográfico,,Déc. 1960||Não identificada,"Haste de bambu, com terminação da mesma fibra vegetal e pena na extremidade. Corte para o encaixe do arco.",Não identificada,01.04.07||83.044.VI/030.188,Flecha||Flecha
167,Brasil > Goiás,Caça/Guerra > Munição e Acessório||01 Caça e Guerra > 01.4 Munição e Acessório||Acervo Museológico||Etnográfico,,Déc. 1960||Não identificada,"Haste de bambu, com terminação da mesma fibra vegetal e pena na extremidade. Corte para o encaixe do arco.",Não identificada,01.04.06||83.044.V/030.187,Flecha||Flecha
168,Brasil > Goiás,Caça/Guerra > Munição e Acessório||01 Caça e Guerra > 01.4 Munição e Acessório||Acervo Museológico||Etnográfico,,Déc. 1960||Não identificada,"Haste de bambu, com terminação da mesma fibra vegetal e pena na extremidade. Corte para o encaixe do arco.",Não identificada,01.04.10||83.044.IX/030.191,Flecha||Flecha
169,Brasil > Goiás,Caça/Guerra > Munição e Acessório||01 Caça e Guerra > 01.4 Munição e Acessório||Acervo Museológico||Etnográfico,,Déc. 1960||Não identificada,"Haste de bambu, com terminação da mesma fibra vegetal e pena na extremidade. Corte para o encaixe do arco.",Não identificada,01.04.05||83.044.IV/030.186,Flecha||Flecha
170,Brasil > Goiás,Caça/Guerra > Munição e Acessório||01 Caça e Guerra > 01.4 Munição e Acessório||Acervo Museológico||Etnográfico,,Déc. 1960||Não identificada,"Haste de bambu, com terminação da mesma fibra vegetal e pena na extremidade. Corte para o encaixe do arco.",Não identificada,01.04.04||83.044.III/030.185,Flecha||Flecha
171,Brasil > Goiás,Caça/Guerra > Munição e Acessório||01 Caça e Guerra > 01.4 Munição e Acessório||Acervo Museológico||Etnográfico,,Déc. 1960||Não identificada,"Haste de bambu, com terminação da mesma fibra vegetal e pena na extremidade. Corte para o encaixe do arco.",Não identificada,01.04.03||83.044.II/030.184,Flecha||Flecha
172,Brasil > Goiás,Caça/Guerra > Munição e Acessório||01 Caça e Guerra > 01.4 Munição e Acessório||Acervo Museológico||Etnográfico,,Déc. 1960||Não identificada,"Haste de bambu, com terminação da mesma fibra vegetal e pena na extremidade. Corte para o encaixe do arco.",Não identificada,01.04.02||83.044.I/030.183,Flecha||Flecha
173,Não identificado,Trabalho > Equipamento de Artistas/Artesãos||06 Trabalho > 06.3 Equipamento de Artistas/Artesãos||Acervo Museológico||Religioso,Não identificado,Déc. 1950 ou 1960||Século XVIII,"Formato retangular, tendo no interior, ao centro inciso, o desenho da hóstia. Pegador longo terminando em argola.",Igreja de Nossa Senhora do Pilar de Ouro Fino,06.03.03||83.043/030.181,Fôrma||Fôrma de Hóstia
174,Não identificado,Castigo/Penitência > Instrumento de Castigo||13 Castigo/Penitência > 13.2 Instrumento de Castigo||Acervo Museológico||Justiça,Não identificado,1983||Século XVIII,"Carretilha de ferro com laterais em madeira, no centro círculo de madeira, na ponta gancho de ferro que se prolonga nas laterais em haste, de um lado parafuso, de outro dobradiças com fechadura em gancho.",Manoel Pereira de Assis,13.2.10||83.042/030.180,Carretilha||Carretilha da forca
175,Não identificado,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,Déc. 1950/60||Século XIX,"Para duas pessoas. Espaldar com 02 traves verticais formando pés traseiros retos, 02 traves horizontais retas, no centro 06 colunas com a frente torneada em frisos, assento retangular reto com friso torneado na frente, duas partes de friso na lateral direita. Na caixa, na parte inferior, friso torneado, pés dianteiros torneados.",Não identificada,05.05.49||83.041/030.179,Banco||Banco-Arca
176,Não identificado,Interiores > Peça de Mobiliário (fragmento)||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,Não identificada||Século XVIII,"Em forma de corpo de cavalo, vazado no centro em forma de cruz, curva vazada na ponta cabeça do cavalo, pés em forma de pata de cavalo. Apoio para banco com 05 suportes ovais.",Antolinda Baía Borges,05.05.48||83.040/030.178,Pé de banco||Pé de banco
177,Brasil > Goiás > Anápolis,Artes Visuais > Escultura||02 Artes Visuais/Cinematográfica > 02.3 Escultura||Acervo Museológico||Religioso,Antenor Silva,Déc. 1960 ou 1970||Século XX > 1959,"23 figuras entalhadas, sendo: 03 reis magos, São José, Virgem Maria, pastor, 02 anjos, mulher amamentando, homem tocando flauta, boi, vaca, menino Jesus, 08 carneiros e 02 cachorros.",Heloísa Alberto Torres,02.03.17||83.039/030.177,Presépio||Presépio
178,Brasil > Goiás,Artes Visuais > Escultura||02 Artes Visuais/Cinematográfica > 02.3 Escultura||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,"Corpo de pé, de frente, cabeça pendida a direita. Olhos fechados, nariz aquilino, fisionomia serena. Cabelos esculpidos longos em mechas, barba incisa em leque. Pescoço grosso. Pernas flexionadas a frente. Pé direito sobre o esquerdo com cravo piramidal. Perisônio com panejamento entrelaçado com grande movimentação.",Zoroastro Artiaga,02.03.16||83.038/030.176,Cristo||Cristo crucificado
179,Não identificado,Artes Visuais > Escultura||02 Artes Visuais/Cinematográfica > 02.3 Escultura||Acervo Museológico||Religioso,Não identificado,15/04/1955||Não identificada,"Corpo de pé, posição frontal, cabeça voltada levemente à esquerda, olhos abertos, boca entreaberta, nariz aquilino, fisionomia serena, cabelos meio longos e ondulados. Barba incisa curta, pescoço curto, braço direito estendido na vertical e braço esquerdo flexionado na horizontal, mão direita estendida na posição de abençoar e mão esquerda apoiando o manto, joelho direito flexionado e pés apoiados em nuvens. Pés em afastamento grande, túnica longa, ocre, com decoração azul e vermelha. Manto sobre o ombro esquerdo transpassado a frente, cor vermelho com decoração azul e avesso azul mais claro.",Não identificada,02.03.15||83.037/030.175,Escultura religiosa||São José
180,Não identificado,Artes Visuais > Escultura||02 Artes Visuais/Cinematográfica > 02.3 Escultura||Acervo Museológico||Religioso,Não identificado,Não identificada||Século XVIII,"Corpo de pé, posição frontal. Cabeça levantada, levemente inclinada à direita. Cabelos incisos lisos. Olhos voltados para cima, pintados. Nariz achatado, boca entreaberta. Pernas flexionadas, pé direito sobre o esquerdo, com furo do cravo. Perisônio. Barba curta. Pintado de branco com cabelos e barba marrons e olhos azuis. Marcas de cor vermelha no corpo, representando manchas de sangue. Posição de crucificação.",Não identificada,02.03.14||83.036/030.174,Escultura religiosa||Cristo crucificado
181,Não identificado,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Ciência | Tecnologia,Não identificado,Déc. 1950||Século XVIII,"Fechadura ladeada com trabalhos vazados, representando 02 dragões estilizados postos frente a frente, na parte inferior motivos fitomorfos e na superior cruz tri lobulada.",Não identificada,04.04.26||83.035/030.173,Espelho de fechadura||Espelho de fechadura
182,Não identificado,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Ciência | Tecnologia,Não identificado,Déc. 1950||Século XVIII,"Fechadura recortada com dois “S” na lateral, corpo quadrangular na parte superior, volutas com 02 pináculos e cruz na parte inferior, volutas com lança.",Não identificada,04.04.25||83.034/030.172,Espelho de fechadura||Espelho de fechadura
183,Não identificado,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Ciência | Tecnologia,Não identificado,Déc. 1950||Século XVIII,"Espelho de fechadura antigo, em ferro batido, desenho em curvas e contracurvas vazadas, terminando na parte superior com cruz arrematada por ponteiros em botão.",Não identificada,04.04.24||83.033/030.171,Espelho de fechadura||Espelho de fechadura
184,Não identificado,Objetos Pessoais > Peça de Indumentária||12 Objetos Pessoais > 12.8 Peça de Indumentária||Acervo Museológico||História do Brasil | República,Não identificado,14/10/1960||Século XX,"De casimira azul marinho. Punhos sobrepostos bordados com fio de ouro e prata em forma de ramos de café com 03 botões. Na manga 03 estrelas de prata. Frente com 21 botões dourados com o emblema da República. 07 alamares pretos com 05 alamares dourados sobrepostos. Com 05 botões embutidos cinza. Gola de galão com bordado em fio de ouro e prata representando ramos de café, com debruado de vermelho. Presilhas de prata, e um botão dourado com franjas metálicas (marca V. da Cunha Guimarães). Costas recortada e contornada por galões pretos. No corte 02 botões. Banda em malha verde com listas douradas de fio metálico, terminado por borlas. No pescoço fio metálico com borla. Vide 83.135/030.314.",Magnólia Castro Sócrates,12.8.09||83.032/030.169,Túnica||Túnica Militar do Mal. Eduardo Arthur Sócrates
185,Não identificado,Objetos Pessoais > Acessório de Indumentária||12 Objetos Pessoais > 12.1 Acessório de Indumentária||Acervo Museológico,Não identificado,1954||Não identificada,"Banda de cor vinho, de malha de seda. Bordas em cordões e fitas douradas e franjas tecidas de seda.",João Batista de Oliveira e Silva,12.1.01||83.032.I/030.170,Faixa / Cinto||Faixa / Cinto
186,Não identificado,Objetos Pessoais > Peça de Indumentária||12 Objetos Pessoais > 12.8 Peça de Indumentária||Acervo Museológico,Não identificado,1954||Século XIX,"Feltro grafite, corte na cintura, gola militar com dois botões e na frente 07. Forrada de feltro. Presilhas para dragonas nos ombros. Galão dourado nos punhos com 03 botões. Abertura atrás, da cintura para baixo, com 06 botões lado a lado. Abertura na frente da cintura para baixo.",João Batista de Oliveira e Silva,12.8.08||83.031/030.168,Túnica||Túnica Militar do Major Higino da Costa Nunes
187,Não identificado,Objetos Pessoais > Peça de Indumentária||12 Objetos Pessoais > 12.8 Peça de Indumentária||Acervo Museológico,Não identificado,Déc. 1950||Século XX,"Blusa listrada de rosa e branco. Corpo na frente terminado em ponta, decote quadrado com renda em volta, na altura do busto renda sobre fundo rosa, entre franzidos. Mangas compridas com o mesmo trabalho, franzido entre renda, punhos rosa cobertos de renda. Abotoada atrás com colchetes. Forro de algodão branco com armações de barbatanas (8).",Maria Carlota Guedes,12.8.07||83.030/030.167,Blusa||Blusa
188,Não identificado,Objetos Pessoais > Peça de Indumentária||12 Objetos Pessoais > 12.8 Peça de Indumentária||Acervo Museológico,Não identificado,Déc. 1950||Século XIX,"Aba ovalada coberta de feltro, com viras laterais coberta de gorgorão. Aba coberta com cetim de seda pura, circulada por fita de gorgorão arrematada com laço. Interior da capa forrada de veludo.",Maria Carlota Guedes,12.8.06||83.029/030.166,Claque||Chapéu alto (cartola)
189,Não identificado,Objetos Cerimoniais > Objeto Funerário||09 Objetos Cerimoniais > 09.4 Objeto Funerário||Acervo Museológico,Não identificado,1952||Século XVIII,"Forma retangular, com frisos em contorno. Inscrição: “Sepultura do Tenente Joze Gomes de Figueyredo e seus descendentes. Anno 1762”.",Igreja de São João Batista da Vila do Ferreiro,09.04.02||83.028/030.165,Lápide||Lápide sepulcral
190,Brasil > Rio de Janeiro,Objetos Pessoais > Peça de Indumentária||12 Objetos Pessoais > 12.8 Peça de Indumentária||Acervo Museológico,Não identificado,Déc. 1950||Século XX,"Calça de casimira preta, com forro de cetim de algodão e seda pura no cós. Com lugar para os suspensórios, passada com fivela na parte de trás.",Luiz Astolpho Amorim,12.8.03||83.027/030.162,Calça||Calça
191,Brasil > Rio de Janeiro,Objetos Pessoais > Peça de Indumentária||12 Objetos Pessoais > 12.8 Peça de Indumentária||Acervo Museológico,Não identificado,Déc. 1950||Século XX,"Frente de casimira preta, costas de cetim de seda preta e forro de cetim de algodão branco com listas pretas. Cinco botões de gorgorão.",Luiz Astolpho Amorim,12.8.05||83.027.II/030.164,Colete||Colete
192,Brasil > Rio de Janeiro,Objetos Pessoais > Peça de Indumentária||12 Objetos Pessoais > 12.8 Peça de Indumentária||Acervo Museológico,Não identificado,Déc. 1950||Século XX,"Jaqueta de casimira preta, com forro em cetim preto. Duas fileiras de botões na frente. Abertura atrás com dois botões. Botões de gorgorão. Lapela larga com vira de cetim preto.",Luiz Astolpho Amorim,12.8.04||83.027.I/030.163,Casaca||Casaca
193,Não identificado,Objetos Pessoais > Peça de Indumentária||12 Objetos Pessoais > 12.8 Peça de Indumentária||Acervo Museológico,Não identificado,1983||Não identificada,"De casimira preta, abotoado na frente com 03 botões. Manga forrada de cetim de algodão branco e o corpo de alpaca verde. Corte na cintura. Abertura atrás com dois botões. Punho de 03 botões. Frente arredondada. Parte de trás mais longa.",Família do Sr. Raul Coutinho,12.8.02||83.026/030.161,Sobre casaca||Sobre casaca
