,Descrição
131,", A celebração do Espírito Santo é uma manifestação cultural e religiosa, de origem portuguesa, disseminada no período da colonização e ainda hoje presente em todas as regiões do Brasil, com variações em torno de uma estrutura básica: a folia, a coroação de um imperador, e o Império do Divino, símbolos principais do ritual. A esta estrutura básica, a Festa do Divino Espírito Santo de Paraty, no Estado do Rio de Janeiro - inscrita no Livro de Registro das Celebrações, em 2013 - vêm incorporando outros ritos e representações que agregam elementos próprios e específicos relacionados à história e à formação de sua sociedade., O conhecimento produzido para a instrução do processo permitiu identificar os elementos constitutivos deste bem cultural, desde sua origem até sua expressão contemporânea. É uma celebração profundamente enraizada no cotidiano dos moradores daquela cidade, um espaço de reiteração de sua identidade e determinante dos padrões de sociabilidade local. Constituída por vários rituais religiosos e expressões culturais, se realiza a cada ano a partir do Domingo de Páscoa com o levantamento do mastro. Suas manifestações e rituais ocorrem ao longo da semana que antecede o Domingo de Pentecostes, principal dia da festa., Propicia momentos importantes, símbolos de caridade e de colaboração entre a comunidade, como o almoço do Divino, a distribuição de carne abençoada e de doces. É a festa religiosa mais complexa do município de Paraty, não somente por agregar o maior número de pessoas, mas por uma intensa preparação por parte da comissão coordenada pelo festeiro, durante todo o ano e reunir um conjunto de celebrações, formas de expressão, lugares, ofícios, práticas e saberes. Sua realização mobiliza uma significativa solidariedade social, suscitando doações por parte dos fiéis, espontâneas ou motivadas por eventos que evocam grande sociabilidade., Nos últimos cem anos, o universo no qual se realizam as festas religiosas em Paraty, da material-dade dos espaços às suas formas rituais, manteve alguns aspectos bastante inalterados, enquanto outros se modificaram ou deixaram de existir, como as irmandades religiosas. As festas de santos alcançavam maior projeção quando realizadas por irmandades. Marina de Mello e Souza mostra em sua pesquisa que as irmandades tiveram grande papel social na manutenção dos cultos aos santos e na religiosidade do povo de Paraty, ao promover uma sociabilidade própria.||A celebração do Espírito Santo é uma manifestação cultural e religiosa, de origem portuguesa, disseminada no período da colonização e ainda hoje presente em todas as regiões do Brasil||O levantamento do mastro do Divino Espírito Santo é um dos pontos altos dessa festa de forte religiosidade e que envolve a participação de diversos cortejos e procissões||Suas manifestações e rituais ocorrem ao longo da semana que antecede o Domingo de Pentecostes, principal dia da festa||A Dança do Marrapaiá, na festa do Divino Espírito Santo em Paraty, é uma das expressões da rica sociabilidade que marca essa festa de integração e solidariedade comunitária||É uma celebração profundamente enraizada no cotidiano dos moradores daquela cidade, um espaço de reiteração de sua identidade e determinante dos padrões de sociabilidade local"
132,"A Literatura de Cordel é um gênero literário, veículo de comunicação, ofício e meio de sobrevivência para inúmeros cidadãos brasileiros.||Literatura de Cordel||Literatura de Cordel||Entre versos, rimas e cantoria, a Literatura de Cordel é uma expressão cultural popular que abrange não apenas as letras, mas também a música e a ilustração.||Literatura de Cordel||Literatura de Cordel||Literatura de Cordel||Literatura de Cordel"
133,"\r\n, O Jongo no Sudeste é uma forma de expressão afro-brasileira que integra percussão de tambores, dança coletiva e elementos de espiritualidade. É praticado nos quintais das periferias urbanas e em algumas comunidades rurais do sudeste brasileiro. Foi inscrito no Livro das Formas de Expressão em 2005. Nessa região,é praticado nos estados do Espírito Santo, Rio de Janeiro, São Paulo e Minas Gerais. Ao longo do processo de Registro, comunidades manifestaram o desejo de participar da discussão: jongo de Campos, tambor da Fazenda Machadinha em Quissamã e jongo de Porciúncula (RJ), jongo de São José dos Campos (SP), jongo de Carangola (MG) e de Presidente Kennedy (ES)., Os atuais jongueiros são, geralmente, descendentes de jongueiros. Vivem em bairros pobres das cidades, onde são trabalhadores - ativos ou aposentados - e estudantes. Ali se radicaram seus avós e bisavós no período pós-abolicionista, em zonas intermédias entre campo e cidade. Alguns deles, nascidos na primeira metade do século 20, fizeram um percurso migratório entre o local de origem, geralmente uma vila ou área rural, e a cidade onde moram agora., Guardam lembranças vívidas das rodas que viam quando crianças, dos cantos que ouviam e das histórias que seus pais e avós contavam sobre o jongo. Acontece nas festas de santos católicos e divindades afro-brasileiras, nas festas juninas, nas festas do Divino, no dia 13 de maio (Dia da Abolição da Escravatura). É uma forma de louvação aos antepassados, consolidação de tradições e afirmação de identidades, com suas raízes nos saberes, ritos e crenças dos povos africanos, principalmente os de língua bantu. São sugestivos dessas origens o profundo respeito aos ancestrais, a valorização dos enigmas cantados e o elemento coreográfico da umbigada., No Brasil, o jongo consolidou-se entre os escravos que trabalhavam nas lavouras de café e cana-de-açúcar, no sudeste brasileiro, principalmente no vale do Rio Paraíba. Trata-se de uma forma de comunicação desenvolvida no contexto da escravidão e que serviu também como estratégia de sobrevivência e de circulação de informações codificadas sobre fatos acontecidos entre os antigos escravos por meio de pontos que os capatazes e senhores não conseguiam compreender. O Jongo sempre esteve, assim, em uma dimensão marginal onde os negros falam de si, de sua comunidade, através da crônica e da linguagem cifrada. É também conhecido pelos nomes de tambu, batuque, tambor e caxambu, dependendo da comunidade que o pratica.,||Acervo Iphan"
134,", Este bem cultural de natureza imaterial, inscrito no Livro dos Saberes em 2005, é uma prática tradicional de produção e venda, em tabuleiro, das chamadas comidas de baiana, feitas com azeite de dendê e ligadas ao culto dos orixás, amplamente disseminadas na cidade de Salvador, Bahia. Dentre as comidas de baiana destaca-se o acarajé, bolinho de feijão fradinho preparado de maneira artesanal, na qual o feijão é moído em um pilão de pedra (pedra de acarajé), temperado e posteriormente frito no azeite de dendê fervente. Sua receita tem origens no Golfo do Benim, na África Ocidental, tendo sido trazida para o Brasil com a vinda de escravos dessa região., O processo de instrução de ambos os bens culturais foi conduzido pelo Centro Nacional de Folclore e Cultura Popular (CNFCP), no âmbito do Projeto Celebrações e Saberes da Cultura Popular, proporcionado pelo PNPI. Este foi um projeto piloto desenvolvido pelo CNFCP para experimentar os instrumentos então criados para a salvaguarda do patrimônio imaterial; a saber: INRC e registro. No âmbito deste projeto foram desenvolvidos 14 inventários, conduzidos três registros. Tanto a instrução para o registro do ofício de baiana de acarajé como o dos saberes associados à viola de cocho foram integrados com projetos do CNFCP de apoio à produção de artesanato tradicional., A atividade de produção e comércio é predominantemente feminina, e encontra-se nos espaços públicos de Salvador, principalmente praças, ruas, feiras da cidade e orla marítima, como também nas festas de largo e outras celebrações que marcam a cultura da cidade. A indumentária das baianas, característica dos ritos do candomblé, constitui também um forte elemento de identificação desse ofício, sendo composta por turbantes, panos e colares de conta que simbolizam a intenção religiosa das baianas., Os aspectos referentes ao Ofício das Baianas de Acarajé e sua ritualização compreendem: o modo de fazer as comidas de baianas, com distinções referentes à oferta religiosa ou à venda informal em logradouros soteropolitanos; os elementos associados à venda como a indumentária própria da baiana, a preparação do tabuleiro e dos locais onde se instalam; os significados atribuídos pelas baianas ao seu ofício e os sentidos atribuídos pela sociedade local e nacional a esse elemento simbólico constituinte da identidade baiana., ,||A baiana de acarajé é um dos símbolos da ancestralidade africana na culinária brasileira."
135,", A Roda de Capoeira - inscrita no Livro de Registro das Formas de Expressão, em 2008 - é um elemento estruturante de umamanifestação cultural, espaço e tempo, onde se expressam simultaneamente o canto, o toque dos instrumentos, a dança, os golpes, o jogo, a brincadeira, os símbolos e rituais de herança africana - notadamente banto - recriados no Brasil. Profundamente ritualizada, a roda de capoeira congrega cantigas e movimentos que expressam uma visão de mundo, uma hierarquia e um código de ética que são compartilhados pelo grupo. Na roda de capoeira se batizam os iniciantes, se formam e se consagram os grandes mestres, se transmitem e se reiteram práticas e valores afro-brasileiros., O registro da Roda de Capoeira e Ofício dos Mestres de Capoeira tem amplitude nacional e foi realizado com base nas pesquisas desenvolvidas, durante a fase de inventário, nos estados da Bahia,Pernambuco e Rio de Janeiro. A capoeira é uma manifestação cultural presente hoje em todo o território brasileiro e em mais de 150 países, com variações regionais e locais criadas a partir de suas “modalidades” mais conhecidas: as chamadas “capoeira angola” e “capoeira regional”., O conhecimento produzidoparainstrução do processo permitiu identificar os principais aspectos que constituem a capoeira como prática cultural desenvolvida no Brasil: o saber transmitido pelos mestres formados na tradição da capoeira e como tal reconhecidos por seus pares; e a roda onde a capoeira reúne todos os seus elementos e se realiza de modo pleno.,  9ª Sessão do Comitê Intergovernamental para a Salvaguarda aprovou, em novembro de 2014, em Paris, a Roda de Capoeira, um dos símbolos do Brasil mais reconhecidos internacionalmente, como Patrimônio Cultural Imaterial da Humanidade. O reconhecimento da Roda de Capoeira, pela Unesco, é uma conquista muito importante para a cultura brasileira e expressa a história de resistência negra no Brasil, durante e após a escravidão.Originada no século XVII, em pleno período escravista, desenvolveu-se como forma de sociabilidade e solidariedade entre os africanos escravizados, estratégia para lidarem com o controle e a violência. Hoje, é um dos maiores símbolos da identidade brasileira e está presente em todo território nacional, além de praticada em mais de 160 países, em todos os continentes.,||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Aprendizado da capoeira, registrado pelo fotógrafo português Christiano Junior, no século XIX||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||As mãos do Mestre Curió tocando o berimbau, na Bahia"
136,"\r\n, O Ofício dos Mestres de Capoeira, inscrito no Livro de Registro dos Saberes, em 2008. é exercido por aqueles detentores dos conhecimentos tradicionais dessa manifestação e responsáveis pela transmissão de suas práticas, rituais e herança cultural. O saber da capoeira é transmitido de modo oral e gestual, de forma participativa e interativa, nas rodas, nas ruas e nas academias, assim como nas relações de sociabilidade e familiaridade construídas entre mestres e aprendizes. A capoeira é largamente difundida no Brasil e no mundo, a capoeira depende da manutenção da cadeia de transmissão desses mestres para sua continuidade como manifestação cultural., A capoeira é uma manifestação cultural presente hoje em todo o território brasileiro e em mais de 150 países, com variações regionais e locais criadas a partir de suas “modalidades” mais conhecidas: as chamadas “capoeira angola” e “capoeira regional”. O conhecimento produzido para a instrução do processo permitiu identificar os principais aspectos que constituem a capoeira como prática cultural desenvolvida no Brasil: o saber transmitido pelos mestres formados na tradição da capoeira e como tal reconhecidos por seus pares; e a roda onde a capoeira reúne todos os seus elementos e se realiza de modo pleno., Esse ofício é exercido por aqueles detentores dos conhecimentos tradicionais desta manifestação e responsáveis pela transmissão oral das suas práticas, rituais e herança cultural. O registro do Ofício dos Mestres de Capoeira tem amplitude nacional e foi realizado com base nas pesquisas desenvolvidas, durante a fase de inventário, nos estados da Bahia, de Pernambuco e do Rio de Janeiro. Os principais aspectos da capoeira como prática cultural desenvolvida no Brasil são o saber transmitido pelos mestres formados na tradição da capoeira e como tal reconhecidos por seus pares; e a roda onde a capoeira reúne todos os seus elementos e se realiza de modo pleno., Foram, também, os mestres brasileiros os responsáveis por articular aspectos culturais a uma manifestação que poderia ficar restrita à face marcial, mas que, ao contrário, é reconhecida por sua riqueza musical e gestual, o que a aproxima também de uma dança especial, reminiscência de jogos de combate de sociedades tradicionais. A roda de capoeira é a forma de expressão que permitiu o aprendizado e a expansão do jogo. Nela se encenam golpes e movimentos acrobáticos, cânticos antigos são reatualizados e outros são inventados, acompanhados por uma orquestra de instrumentos que produz uma sonoridade múltipla e, ao mesmo tempo, característica da arte., , , \r\n, \r\n, \r\n, \r\n||TT"
137,", O Fandango Caiçara - registrado pelo Iphan em novembro de 2012 - é uma expressão musical-coreográfica-poética e festiva, cuja área de ocorrência abrange o litoral sul do Estado de São Paulo e o litoral norte do Estado do Paraná. Essa forma de expressão é um dos bensimateriaisque compõe o Patrimônio Cultural do Brasil. Possui uma estrutura bastante complexa e se define em um conjunto de práticas que perpassam o trabalho, o divertimento, a religiosidade, a música e a dança, prestígios e rivalidades, saberes e fazeres. O Fandango Caiçara se classifica em batido e bailado ou valsado, cujas diferenças se definem pelos instrumentos utilizados, pela estrutura musical, pelos versos e toques., Nos bailes, como são conhecidos os encontros onde há fandango, se estabelecem redes de trocas e diálogos entre gerações, intercâmbio de instrumentos, afinações, modas e passos viabilizando a manutenção da memória e da prática das diferentes músicas e danças. O fandango caiçara é uma forma de expressão profundamente enraizada no cotidiano das comunidades caiçaras, um espaço de reiteração de sua identidade e determinante dos padrões de sociabilidade local., Articulando expressões coreográficas, musicais e poéticas, se configura por um conjunto de práticas que passam pelo trabalho e divertimento, música e dança, prestígios e rivalidades. Tal qual é vivenciado atualmente, nesta região, resultoude um específico processo histórico-social consolidado, sobretudo, a partir do final do século XIX, com a formação dos núcleos de povoamento chamados “sítios”. A partir dos modos de vida configurados nesses espaços, o fandango adquiriu seus contornos, estando ligado a atividades rurais baseadas na roça, na pesca e no extrativismo., O fandango para os“sitiantes-caiçaras”, se apresentava como o espaço da “reciprocidade”, onde o “dar-receber-retribuir” constituía a base de suas socialidades, marcada pelas dimensões familiares, de compadrio e vizinhança. Para as comunidades rurais e de pescadores estabelecidas nesse território, o lugar do fandango em suas vidas sociais e lúdicas além de estar ligado à organização do trabalho comunitário - o mutirão – relacionava-se também, aoconjunto de laços de sociabilidade produzidos na região., De casamentos e batismos, festas de santos padroeiros e aniversários, até alianças de ajuda mútua e compadrios, observa-se dinâmicas sociais marcadas e conduzidas pelas cadências do fandango. De certo modo, a lógica do mutirão acompanhava as diferentes configurações deste fazer fandango, e, nesse contexto, de fato as divisões entre trabalho e divertimento sempre foram tênues., , , \r\n, \r\n, \r\n,||O Grupo de Fandango da Associação de Jovens da Jureia, em Barra do Ribeira (SP), segue a tradição de encontros entre vizinhos e as práticas intercomunitárias.||O Fandango Caiçara se classifica em batido e bailado ou valsado, cujas diferenças se definem pelos instrumentos utilizados, pela estrutura musical, pelos versos e toques.||Fabricação artesanal de tamancos usados nas danças de fandango.||Instrumentos musicais fabricados pelos irmãos Zé Pereira e Arnaldo Pereira.||Fabricação artesanal de instrumentos por Nelson Franco, o Picapau.||Grupo Caiçara Cananeia, de fandango.||O Fandango Caiçara se classifica em batido e bailado ou valsado, cujas diferenças se definem pelos instrumentos utilizados, pela estrutura musical, pelos versos e toques.||Baile caiçara."
138,"O Sistema Agrícola Tradicional das Comunidades Quilombolas do Vale do Ribeira é um conjunto de saberes e técnicas acumuladas na pesquisa e observação das dinâmicas ecológicas e resultados de manejo, oriundas do repertório de conhecimentos agrícolas, ambientais, sociais, religiosos e lúdicos das comunidades quilombolas localizadas na Região Sudeste do Estado de São Paulo e leste do Estado do Paraná, no Vale do Ribeira., Essas comunidades cultivam desde o período colonial às margens do rio Ribeira do Iguape, produzindo mandioca, milho, feijão, arroz e diversas outras espécies, de modo que seu modo tradicional de fazer agricultura tornou-se eixo estruturante do seu modo de vida e possibilitou sua permanência e perpetuação nos vales e montanhas da região., \r\n, \r\nTransmitidos através das gerações por vias da oralidade e observação em vivências práticas, esses saberes direcionam as maneiras de olhar a natureza, de avaliar e de decidir sobre o manuseio dos recursos naturais para a agricultura, de ensinar, de promover trocas, de sentir e de criar que estão conectados a um modo de vida baseado na roça de coivara, onde as comunidades quilombolas fazem o manuseio da terra com um padrão de ocupação itinerante que organiza o tempo e o espaço em função do calendário agrícola.||Programa Vale do Ribeira. Barco faz a travessia da estrada para a comunidade, dando acesso ao quilombo. Quilombo de Ivaporunduva. Município de Eldorado. SP.||Edvina Silva (Dona Diva), do Quilombo Pedro Cubas de Cima, segurando taioba na 11ª Feira de Troca de Sementes e Mudas Tradicionais das Comunidades Quilombolas do Vale do Ribeira, Eldorado||Produtos da barraca de Pedro Cubas de Cima na 11ª Feira de Troca de Sementes e Mudas Tradicionais das Comunidades Quilombolas do Vale do Ribeira, Eldorado||Apresentação da dança Nhá Maruca pelo Quilombo Sapatu na 11ª Feira de Troca de Sementes e Mudas Tradicionais das Comunidades Quilombolas do Vale do Ribeira, Eldorado||Cana-de-açúcar e couve da barraca do Quilombo Cangume, 11ª Feira de Troca de Sementes e Mudas Tradicionais das Comunidades Quilombolas do Vale do Ribeira, Eldorado||Zeni Florindo, Quilombo de Ivaporunduva||Casa de pau-a-pique, Quilombo de Ivaporunduva||9ª Feira de Troca de Sementes e Mudas Tradicionais das comunidades quilombolas do Vale do Ribeira||Sessenta pessoas participaram do mutirão da colheita de arroz, na comunidade do quilombo Morro Seco||10ª Feira de troca de sementes e mudas tradicionais das comunidades quilombolas do Vale do Ribeira||Produtos das roças quilombolas usados para decorar o pátio da Escola Estadual Jayme de Almeida Paiva||Roça de mandioca no Quilombo Porto Velho, no Vale do Ribeira (SP)"
139,"A Literatura de Cordel é um gênero literário, veículo de comunicação, ofício e meio de sobrevivência para inúmeros cidadãos brasileiros.||Literatura de Cordel||Literatura de Cordel||Entre versos, rimas e cantoria, a Literatura de Cordel é uma expressão cultural popular que abrange não apenas as letras, mas também a música e a ilustração.||Literatura de Cordel||Literatura de Cordel||Literatura de Cordel||Literatura de Cordel"
140,", Este bem cultural de natureza imaterial, inscrito no Livro dos Saberes em 2005, é uma prática tradicional de produção e venda, em tabuleiro, das chamadas comidas de baiana, feitas com azeite de dendê e ligadas ao culto dos orixás, amplamente disseminadas na cidade de Salvador, Bahia. Dentre as comidas de baiana destaca-se o acarajé, bolinho de feijão fradinho preparado de maneira artesanal, na qual o feijão é moído em um pilão de pedra (pedra de acarajé), temperado e posteriormente frito no azeite de dendê fervente. Sua receita tem origens no Golfo do Benim, na África Ocidental, tendo sido trazida para o Brasil com a vinda de escravos dessa região., O processo de instrução de ambos os bens culturais foi conduzido pelo Centro Nacional de Folclore e Cultura Popular (CNFCP), no âmbito do Projeto Celebrações e Saberes da Cultura Popular, proporcionado pelo PNPI. Este foi um projeto piloto desenvolvido pelo CNFCP para experimentar os instrumentos então criados para a salvaguarda do patrimônio imaterial; a saber: INRC e registro. No âmbito deste projeto foram desenvolvidos 14 inventários, conduzidos três registros. Tanto a instrução para o registro do ofício de baiana de acarajé como o dos saberes associados à viola de cocho foram integrados com projetos do CNFCP de apoio à produção de artesanato tradicional., A atividade de produção e comércio é predominantemente feminina, e encontra-se nos espaços públicos de Salvador, principalmente praças, ruas, feiras da cidade e orla marítima, como também nas festas de largo e outras celebrações que marcam a cultura da cidade. A indumentária das baianas, característica dos ritos do candomblé, constitui também um forte elemento de identificação desse ofício, sendo composta por turbantes, panos e colares de conta que simbolizam a intenção religiosa das baianas., Os aspectos referentes ao Ofício das Baianas de Acarajé e sua ritualização compreendem: o modo de fazer as comidas de baianas, com distinções referentes à oferta religiosa ou à venda informal em logradouros soteropolitanos; os elementos associados à venda como a indumentária própria da baiana, a preparação do tabuleiro e dos locais onde se instalam; os significados atribuídos pelas baianas ao seu ofício e os sentidos atribuídos pela sociedade local e nacional a esse elemento simbólico constituinte da identidade baiana., ,||A baiana de acarajé é um dos símbolos da ancestralidade africana na culinária brasileira."
141,", A Roda de Capoeira - inscrita no Livro de Registro das Formas de Expressão, em 2008 - é um elemento estruturante de umamanifestação cultural, espaço e tempo, onde se expressam simultaneamente o canto, o toque dos instrumentos, a dança, os golpes, o jogo, a brincadeira, os símbolos e rituais de herança africana - notadamente banto - recriados no Brasil. Profundamente ritualizada, a roda de capoeira congrega cantigas e movimentos que expressam uma visão de mundo, uma hierarquia e um código de ética que são compartilhados pelo grupo. Na roda de capoeira se batizam os iniciantes, se formam e se consagram os grandes mestres, se transmitem e se reiteram práticas e valores afro-brasileiros., O registro da Roda de Capoeira e Ofício dos Mestres de Capoeira tem amplitude nacional e foi realizado com base nas pesquisas desenvolvidas, durante a fase de inventário, nos estados da Bahia,Pernambuco e Rio de Janeiro. A capoeira é uma manifestação cultural presente hoje em todo o território brasileiro e em mais de 150 países, com variações regionais e locais criadas a partir de suas “modalidades” mais conhecidas: as chamadas “capoeira angola” e “capoeira regional”., O conhecimento produzidoparainstrução do processo permitiu identificar os principais aspectos que constituem a capoeira como prática cultural desenvolvida no Brasil: o saber transmitido pelos mestres formados na tradição da capoeira e como tal reconhecidos por seus pares; e a roda onde a capoeira reúne todos os seus elementos e se realiza de modo pleno.,  9ª Sessão do Comitê Intergovernamental para a Salvaguarda aprovou, em novembro de 2014, em Paris, a Roda de Capoeira, um dos símbolos do Brasil mais reconhecidos internacionalmente, como Patrimônio Cultural Imaterial da Humanidade. O reconhecimento da Roda de Capoeira, pela Unesco, é uma conquista muito importante para a cultura brasileira e expressa a história de resistência negra no Brasil, durante e após a escravidão.Originada no século XVII, em pleno período escravista, desenvolveu-se como forma de sociabilidade e solidariedade entre os africanos escravizados, estratégia para lidarem com o controle e a violência. Hoje, é um dos maiores símbolos da identidade brasileira e está presente em todo território nacional, além de praticada em mais de 160 países, em todos os continentes.,||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Aprendizado da capoeira, registrado pelo fotógrafo português Christiano Junior, no século XIX||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||As mãos do Mestre Curió tocando o berimbau, na Bahia"
142,"\r\n, O Ofício dos Mestres de Capoeira, inscrito no Livro de Registro dos Saberes, em 2008. é exercido por aqueles detentores dos conhecimentos tradicionais dessa manifestação e responsáveis pela transmissão de suas práticas, rituais e herança cultural. O saber da capoeira é transmitido de modo oral e gestual, de forma participativa e interativa, nas rodas, nas ruas e nas academias, assim como nas relações de sociabilidade e familiaridade construídas entre mestres e aprendizes. A capoeira é largamente difundida no Brasil e no mundo, a capoeira depende da manutenção da cadeia de transmissão desses mestres para sua continuidade como manifestação cultural., A capoeira é uma manifestação cultural presente hoje em todo o território brasileiro e em mais de 150 países, com variações regionais e locais criadas a partir de suas “modalidades” mais conhecidas: as chamadas “capoeira angola” e “capoeira regional”. O conhecimento produzido para a instrução do processo permitiu identificar os principais aspectos que constituem a capoeira como prática cultural desenvolvida no Brasil: o saber transmitido pelos mestres formados na tradição da capoeira e como tal reconhecidos por seus pares; e a roda onde a capoeira reúne todos os seus elementos e se realiza de modo pleno., Esse ofício é exercido por aqueles detentores dos conhecimentos tradicionais desta manifestação e responsáveis pela transmissão oral das suas práticas, rituais e herança cultural. O registro do Ofício dos Mestres de Capoeira tem amplitude nacional e foi realizado com base nas pesquisas desenvolvidas, durante a fase de inventário, nos estados da Bahia, de Pernambuco e do Rio de Janeiro. Os principais aspectos da capoeira como prática cultural desenvolvida no Brasil são o saber transmitido pelos mestres formados na tradição da capoeira e como tal reconhecidos por seus pares; e a roda onde a capoeira reúne todos os seus elementos e se realiza de modo pleno., Foram, também, os mestres brasileiros os responsáveis por articular aspectos culturais a uma manifestação que poderia ficar restrita à face marcial, mas que, ao contrário, é reconhecida por sua riqueza musical e gestual, o que a aproxima também de uma dança especial, reminiscência de jogos de combate de sociedades tradicionais. A roda de capoeira é a forma de expressão que permitiu o aprendizado e a expansão do jogo. Nela se encenam golpes e movimentos acrobáticos, cânticos antigos são reatualizados e outros são inventados, acompanhados por uma orquestra de instrumentos que produz uma sonoridade múltipla e, ao mesmo tempo, característica da arte., , , \r\n, \r\n, \r\n, \r\n||TT"
143,", O Fandango Caiçara - registrado pelo Iphan em novembro de 2012 - é uma expressão musical-coreográfica-poética e festiva, cuja área de ocorrência abrange o litoral sul do Estado de São Paulo e o litoral norte do Estado do Paraná. Essa forma de expressão é um dos bensimateriaisque compõe o Patrimônio Cultural do Brasil. Possui uma estrutura bastante complexa e se define em um conjunto de práticas que perpassam o trabalho, o divertimento, a religiosidade, a música e a dança, prestígios e rivalidades, saberes e fazeres. O Fandango Caiçara se classifica em batido e bailado ou valsado, cujas diferenças se definem pelos instrumentos utilizados, pela estrutura musical, pelos versos e toques., Nos bailes, como são conhecidos os encontros onde há fandango, se estabelecem redes de trocas e diálogos entre gerações, intercâmbio de instrumentos, afinações, modas e passos viabilizando a manutenção da memória e da prática das diferentes músicas e danças. O fandango caiçara é uma forma de expressão profundamente enraizada no cotidiano das comunidades caiçaras, um espaço de reiteração de sua identidade e determinante dos padrões de sociabilidade local., Articulando expressões coreográficas, musicais e poéticas, se configura por um conjunto de práticas que passam pelo trabalho e divertimento, música e dança, prestígios e rivalidades. Tal qual é vivenciado atualmente, nesta região, resultoude um específico processo histórico-social consolidado, sobretudo, a partir do final do século XIX, com a formação dos núcleos de povoamento chamados “sítios”. A partir dos modos de vida configurados nesses espaços, o fandango adquiriu seus contornos, estando ligado a atividades rurais baseadas na roça, na pesca e no extrativismo., O fandango para os“sitiantes-caiçaras”, se apresentava como o espaço da “reciprocidade”, onde o “dar-receber-retribuir” constituía a base de suas socialidades, marcada pelas dimensões familiares, de compadrio e vizinhança. Para as comunidades rurais e de pescadores estabelecidas nesse território, o lugar do fandango em suas vidas sociais e lúdicas além de estar ligado à organização do trabalho comunitário - o mutirão – relacionava-se também, aoconjunto de laços de sociabilidade produzidos na região., De casamentos e batismos, festas de santos padroeiros e aniversários, até alianças de ajuda mútua e compadrios, observa-se dinâmicas sociais marcadas e conduzidas pelas cadências do fandango. De certo modo, a lógica do mutirão acompanhava as diferentes configurações deste fazer fandango, e, nesse contexto, de fato as divisões entre trabalho e divertimento sempre foram tênues., , , \r\n, \r\n, \r\n,||O Grupo de Fandango da Associação de Jovens da Jureia, em Barra do Ribeira (SP), segue a tradição de encontros entre vizinhos e as práticas intercomunitárias.||O Fandango Caiçara se classifica em batido e bailado ou valsado, cujas diferenças se definem pelos instrumentos utilizados, pela estrutura musical, pelos versos e toques.||Fabricação artesanal de tamancos usados nas danças de fandango.||Instrumentos musicais fabricados pelos irmãos Zé Pereira e Arnaldo Pereira.||Fabricação artesanal de instrumentos por Nelson Franco, o Picapau.||Grupo Caiçara Cananeia, de fandango.||O Fandango Caiçara se classifica em batido e bailado ou valsado, cujas diferenças se definem pelos instrumentos utilizados, pela estrutura musical, pelos versos e toques.||Baile caiçara."
144,", Este bem cultural de natureza imaterial, inscrito no Livro dos Saberes em 2005, é uma prática tradicional de produção e venda, em tabuleiro, das chamadas comidas de baiana, feitas com azeite de dendê e ligadas ao culto dos orixás, amplamente disseminadas na cidade de Salvador, Bahia. Dentre as comidas de baiana destaca-se o acarajé, bolinho de feijão fradinho preparado de maneira artesanal, na qual o feijão é moído em um pilão de pedra (pedra de acarajé), temperado e posteriormente frito no azeite de dendê fervente. Sua receita tem origens no Golfo do Benim, na África Ocidental, tendo sido trazida para o Brasil com a vinda de escravos dessa região., O processo de instrução de ambos os bens culturais foi conduzido pelo Centro Nacional de Folclore e Cultura Popular (CNFCP), no âmbito do Projeto Celebrações e Saberes da Cultura Popular, proporcionado pelo PNPI. Este foi um projeto piloto desenvolvido pelo CNFCP para experimentar os instrumentos então criados para a salvaguarda do patrimônio imaterial; a saber: INRC e registro. No âmbito deste projeto foram desenvolvidos 14 inventários, conduzidos três registros. Tanto a instrução para o registro do ofício de baiana de acarajé como o dos saberes associados à viola de cocho foram integrados com projetos do CNFCP de apoio à produção de artesanato tradicional., A atividade de produção e comércio é predominantemente feminina, e encontra-se nos espaços públicos de Salvador, principalmente praças, ruas, feiras da cidade e orla marítima, como também nas festas de largo e outras celebrações que marcam a cultura da cidade. A indumentária das baianas, característica dos ritos do candomblé, constitui também um forte elemento de identificação desse ofício, sendo composta por turbantes, panos e colares de conta que simbolizam a intenção religiosa das baianas., Os aspectos referentes ao Ofício das Baianas de Acarajé e sua ritualização compreendem: o modo de fazer as comidas de baianas, com distinções referentes à oferta religiosa ou à venda informal em logradouros soteropolitanos; os elementos associados à venda como a indumentária própria da baiana, a preparação do tabuleiro e dos locais onde se instalam; os significados atribuídos pelas baianas ao seu ofício e os sentidos atribuídos pela sociedade local e nacional a esse elemento simbólico constituinte da identidade baiana., ,||A baiana de acarajé é um dos símbolos da ancestralidade africana na culinária brasileira."
