,Abrangência/ Cobertura,Assunto/ palavras-chave,Autor,Contribuidor/ colaborador,Data,Descrição,Direitos,Identifier,Relação,Título
39,,01 Caça e Guerra > 01.2 Arma||armaria | brasil | minas gerais | século xix | século xviii,Não identificado,Daniel Mansur,2007.0||Século XIX | Século XVIII,"Pistola com cano de 20 mm, com uso de pólvora, datável do século XVIII ou XIX, de origem certamente brasileira.||Desenhos geométricos, escamas, recortes curvos.||Coronha em madeira avermelhada, entalhada e envernizada; outros elementos em ferro fundido e batido, parafusados; bucha para pólvora encaixada.||Pistola com a coronha em madeira avermelhada; com relevo de escamas; cabo emoldurado, com desenhos geométricos e elemento elíptico de ferro preso ao extremo; cano cilíndrico, de com mira anterior, facetado ao meio, com a bucha da pólvora encaixada inferiormente; gatilho alojado dentro de alça oval com recortes curvos; cão de recortes curvos.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",178,Ficha Cadastral de 21-03-1975; Ficha de Conservação e Restauração 28-09-1990; Ficha Topográfica 1991-1996.,Pistola
40,,01 Caça e Guerra > 01.2 Arma||armaria | brasil | minas gerais | século xix | século xviii,Não identificado,Daniel Mansur,2007.0||Século XVIII,"Sabre com bainha, datável do século XVIII, de provável origem brasileira.||Desenho de ramos floridos e bandeiras.||Peça em duas partes distintas, em ferro fundido e batido; lâmina com desenhos em dourado; cabo parece ser revestido por couro.||Sabre de lâmina recurvada e larga, com fios bisotados, com desenhos de flores e bandeiras em dourado na metade superior das duas faces. Guarda em uma haste horizontal curva, terminada em volta, de um lado, e uma alça curva, do outro; ao meio um cabo curvo, com a pega estriada. Bainha acompanhando o desenho da lâmina, de formato achatado, com dois ressaltados terminados em argolas na metade do lado aberto.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",177,"Ficha Cadastral de 21-03-1975; 2 Fichas de Conservação e Restauração de 28-09-1990; 2 Fichas Topográficas de 25-04-91, 15-09-94 e agosto de 1996; Ficha para Remanejamento, s/data",Sabre com bainha
41,Brasil | Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário||brasil | minas gerais | mobiliário | século xix | século xviii,Não identificado,Daniel Mansur,2007.0||Século XVIII,"Arca cofre, datável do século XVIII, de execução rústica, toda reforçada por chapas de ferro com tacheado miúdo; de fatura mineira.||Chapeado, tacheado, recortes em flor-de-lis||Arca em madeira recortada, composta de várias partes encaixadas e fixadas por cravos; ferragem em quatro fechaduras, chapeados e tacheados que circundam toda a caixa, em ferro batido; fixação por cravos; interior adaptado por vidros; cavalete em 10 partes de madeira recortada, encaixadas e pregadas. Atualmente adaptado com vitrine.||Arca em madeira retangular horizontal, toda circundada por chapeado de ferro com tacheado miúdo, no sentido transversal; laterais com chapeados verticais; frente com quatro fechaduras, de espelho quadrangular, com lingüeta comprida de recortes curvos e desenho geométrico; as chapas que prendem as lingüetas e também servem de dobradiças por trás, terminam na frente em recortes de flor-de-lis. Tampa com orifício elíptico na parte central da frente. Quinas com cantoneiras de ferro. Interior adaptado para exposição, com visor e vidro. Suporte da arca em cavalete, com duas travessas transversais de pontas em recortes curvos e armação em duas travessas longitudinais por cima e por baixo.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",170,Ficha Cadastral de 20-03-1975; Ficha de Conservação e Restauração 26-11-1990; Ficha Topográfica 1991-1996,Arca-cofre
42,França,05 Interiores > 05.5 Peça de Mobiliário||frança | mobiliário | século xix | século xviii,Não identificado,Daniel Mansur,2007.0||Século XIX,"Cofre de origem francesa, datável do século XIX, todo trabalhado em tacheado e chapeado.||Tacheado, botões e gomos.||Cofre em ferro fundido, trançado por chapas de ferro com tacheado e botões, três deles articulados, servindo como fechadura||Cofre retangular vertical, todo trançado por chapas de ferro, com tacheado semi-esférico nas junções das chapas e entre elas; porta ocupando a metade superior, moldurada, por tacheado; com botões semi-esféricos e em gomos nas quinas; porta com a dobradiça em ressalto semi-cilíndrico e com torneados nos extremos; possui também botões semi-esféricos em gomos nos cantos, três deles funcionando como segredo.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",169,"Ficha Cadastral de 20-03-1975; Ficha de Conservação e Restauração 30-08-1990; Ficha Topográfica 1991-1996 Fotos P&B nos 157, 158, 159, 267, 269, 270 e s/nº",Cofre (ou burra)
43,Brasil | Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário||brasil | minas gerais | mobiliário | século xix | século xviii,Não identificado,Daniel Mansur,2007.0||Século XVIII,"Mesa de origem certamente mineira, datável do século XVIII, decorada em motivos fitomorfos na gaveta e com recortes curvos nas abas.||Recortes curvos formando trifólios, acantos, volutas, molduras e frisos.||Mesa em várias partes madeira (vinhático) entalhada e recortada, encaixadas e fixadas por cavilhas. Espelho da fechadura (inexistente) em latão prensado; tampo retrátil.||Mesa de tampo retangular, de borda arredondada e frisada. Caixa com as abas de recortes em curvas e contra-curvas, formando trifólios na parte inferior, vazados curvos ao meio  e  ressaltos em recortes superiores e nas quinas. Gaveta de borda emoldurada, com o centro reentrante, delimitado por acantos e volutas. Com um espelho elíptico.
Entre o tampo e a gaveta um outro tampo retrátil, com a frente  emoldura.
Pernas mais largas na parte superior, com as faces da frente delimitadas por sulco curvo, terminadas em pés curvos.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",168,Ficha Cadastral de 20-03-1975; Ficha de Conservação e Restauração de 23-04-1990 e 27-09-1990; Ficha topográfica com datas de 25-04-91 e agosto de 1996.,Mesa de ourives
44,Brasil | Minas Gerais,06 Trabalho > 06.5 Equipamento de Fiação/Tecelagem||brasil | século xix | século xviii | tecelagem | usos e costumes,Não identificado,Daniel Mansur,2007.0||Século XIX | Século XVIII,"Roca de fiar em madeira torneada, de origem mineira, datável do século XVIII ou XIX.||Torneados, friso, nós, recortes curvos.||Peça em madeira torneada e recortada, composta de 34 partes encaixadas e fixadas por cavilhas; biela e gancho em ferro fundido; madeira de cor avermelhada.||Roda de fiar com o corpo torneado, provido de três pernas torneadas, sendo as dianteiras diagonais e a traseira reta; pedal inferior triangular; parte traseira com elemento torneado transversal, de onde se elevam duas hastes verticais travada por uma travessa horizontal, todas torneadas, dentro da qual gira o fuso, provido de duas polias e um gancho em “U”; parte dianteira com a roda, que gira entre duas hastes diagonais torneadas, presas a um elemento horizontal, grosso e torneado; a roda tem cinco raios torneados intercalados por pináculos; o aro tem um sulco externo, em sua circunferência, onde se enrola a corda de transmissão, que a liga às polias do fuso; tem o seu eixo provido de uma biela de ferro, de cuja extremidade desce o rabicho, que o liga ao pedal de baixo.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",153,Ficha Cadastral de 20-03-1975; Ficha de Conservação e Restauração de26-09-1990; Ficha Topográfica 1991-1997.,Roda de fiar (Roca)
45,[Minas Gerais],06 Trabalho > 06.10 Equipamento Musical||brasil | minas gerais | mobiliário | século xix | século xviii,Não identificado,Acervo Museu do Ouro,2020.0||Século XIX,"Móvel rústico, datável do século XIX, de provável origem mineira, de uso desconhecido*.||Pináculos e recorte em borboleta.||Peça em quinze partes de madeira recortada, encaixada e pregada.||Móvel retangular baixo, de laterais lisas, com o tampo em duas partes inclinadas, convergindo para o centro; entre o tampo e as laterais longitudinais há uma fenda estreita; quinas arrematadas por pináculos; possui uma gaveta, em uma das laterais, com puxador recortado em borboleta.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",147,Ficha Cadastral de 20-02-1975; Ficha de Conservação e Restauração de 26-09-1990; Ficha Topográfica 1991-1993.,Tamborete de orquestra
46,Brasil | Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário||brasil | minas gerais | mobiliário | século xix | século xviii,Não identificado,Daniel Mansur,2007.0||Século XVIII,"Confessionário no formato de uma cadeira, muito comum no período colonial mineiro, de confecção rústica.||Recortes curvos.||Móvel composto por cinco partes de madeira escura, recorta, encaixada e fixada por cravos.||Confessionário em formato de cadeira, com o espaldar alto, de cachaço recortado em semicírculo, com tremidos nos cantos; auscultador central, recortado em grades verticais, com a parte de cima em arco; assento reto e liso; partes anterior e traseira, com recortes de semicírculo, formando os pés; laterais com travessas retas.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",136,Ficha Cadastral de 20-03-1975; Ficha de Conservação e Restauração 25-09-1990; Ficha Topográfica 1991-1997.,Confessionário
47,Brasil,05 Interiores > 05.5 Peça de Mobiliário||brasil | minas gerais | mobiliário | século xix | século xviii,Não identificado,Daniel Mansur,2007.0||Século XIX,"Móvel de desenho singelo e elegante, inspirado nos leitos franceses do estilo Restauração (1815 a 1830), Império no Brasil; comum nas residências mais “aristocráticas” brasileiras.||Volutas, recortes curvos, flor, gomos, pernas em pata de animal.||Móvel em madeira recortada e entalhada, composta por várias partes encaixadas, coladas e fixadas por parafusos; revestimento em palhinha trançada.||Marquesa com o espaldar em recortes curvos nos extremos, com centro reto e cimalha simples arrematada por elemento entalhado em dois êsses deitados, com gomos; centro do espaldar com retângulo revestido por palhinha; laterais terminadas em resguardos inclinados, arrematados por volutas enroladas para fora, também revestidas por palhinha; quatro pés em curva voltada para fora e pés em forma de pata de animal; na saída dos pés aparece um entalhe em relevo, na forma de uma flor.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",119,Ficha Cadastral de 20-03-1975; Ficha de Conservação e Restauração de 20-09-1990; Ficha Topográfica 1991-1997.,Marquesa
48,Brasil | Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário||brasil | minas gerais | mobiliário | século xix | século xviii,Não identificado,Daniel Mansur,2007.0||Século XVIII,"Armário datável de fins do século XVIII ou início do XIX, de desenho retilíneo, com recortes curvos e decoração de inspiração rococó; de origem mineira.||Denticulados, molduras, frisos, recortes curvos e arrecadas.||Armário composto por cerca de 40 partes, em madeira (vinhático) recortada e entalhada, encaixadas e fixadas por cavilhas; possui quatro fragmentos de dobradiças em metal amarelo; com fechadura e espelho em metal.||Armário retangular, com a parte superior arrematada por cimalha larga, emoldurada, com ressaltos nas quinas, arrematadas por arrecadas de recorte curvo, que descem pelas quinas, inclusive das laterais; frente com porta de duas folhas, cada uma com três almofadas emolduradas e salientes, com o entorno chanfrado; com fechadura de espelho losangular. A parte inferior em recortes curvos, formando desenho de volutas e bifólios; laterais lisas, terminadas inferiormente em recortes de semi-círculo apontado, formando os pés. Interior dividido em cinco compartimentos por quatro prateleiras. A cimalha da frente é removível, formando um compartimento secreto.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",111,"Ficha Cadastral de 02-03-1975; Ficha de Conservação e Restauração de 20-09-1990; Ficha Topográfica 1991-1996. CANTI, Tilde. O móvel no Brasil. Origem, evolução e características. Rio de Janeiro, Editora Agir/Lisboa, Fundação Ricardo do Espírito Santo, 1999.",Armário
49,Brasil | Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário||brasil | minas gerais | mobiliário | século xix | século xviii,Não identificado,Daniel Mansur,2007.0||Século XVIII,"Leito de origem mineira, de composição esmerada, datável da 1ª metade do século XVIII, mas certamente inspirado em modelos seiscentistas com influência moçárabe, com torneado em discos, bolachas, nós diversos e gradil decorado à maneira de bilros; decoração profusa, em motivos barrocos, com acantos, volutas e cartelas; certamente de origem mineira.||Torneados diversos, acantos, cartelas, volutas, recortes curvos, frisos e flores.||Leito em jacarandá, composto por 88 partes entalhadas, torneadas, recortadas e encaixadas; varais presos por parafusos de ferro batido; estrados apenas encaixados; colunas superiores encaixadas; quatro espetos de ferro para sustentar os varais do dossel (que não tem)||Leito retangular, de pernas retas, torneadas em discos e bolachas, com pés em bolacha; varais retos e lisos, as bordas frisadas, fixados por parafusos de cabeças cúbicas com recorte em flor; estrados em madeira lisa, apoiados sobre três traves longitudinais; Cabeceira em colunas retas, torneadas em bolachas, discos e frisos, com nó periforme ao meio; centro em dois gradis, separados por travessa emoldurada, com grades torneadas, intercaladas por pináculos em forma de bilros; arremate superior em recortes curvos, com centro decorado em relevo de seqüência de losangulos com flores por baixo e cartelas ovais, envolvidas por cês, acantos, volutas e flores, ao alto; Peseira com gradil semelhante ao da cabeceira, também com travessa emoldurada e colunas nas quinas; Tanto uma quanto a outra tem suas colunas continuadas por outras colunas, que ali se encaixam, também torneadas, com grande bolacha inferior , seguido de nós e discos; ponta afinada, terminada em um espeto de ferro, onde se encaixam os varais (4) que sustentam o dossel.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",110,"Ficha Cadastral de 02-02-1975; Ficha de Conservação e Restauração de 20-09-1990; Ficha Topográfica 1991-1996. 3 fotos P&B nos 253, 256 e 257. CANTI, Tilde. O móvel no Brasil. Origem, evolução e características. Rio de Janeiro, Editora Agir/Lisboa, Fundação Ricardo do Espírito Santo, 1999.",Leito de Dossel
50,Brasil | Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário||brasil | minas gerais | mobiliário | século xix | século xviii,Não identificado,Daniel Mansur,2007.0||Século XVIII,"Mesa de desenho retilíneo, mas de porte elegante, com molduras e torneados; datável do século XVIII, de origem mineira.||Torcidos, torneados, molduras e frisos||Mesa em madeira (jacarandá), composta de várias partes recortadas, torneadas, encaixadas e fixadas por cavilhas; puxadores torneados; marca de fechadura||Mesa de tampo retangular, com borda emoldurada; caixa reta, almofadada, com consolos nos cantos e meio; frente com duas gavetas almofadadas, com par de puxadores torneados; e marca de fechadura na gaveta da direita; pernas torneadas, com elemento quadrangular na parte superior; parte central lisa; parte inferior em torcido, terminado em nó esférico, onde se fixam as travessas da amarração, também torneadas; pés cilíndricos, terminados em bolachas. Com um segredo interno, no fundo da gaveta direita.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",109,"Ficha Cadastral de 02-02-1975; Ficha de Conservação e Restauração de 20-09-1990; Ficha Topográfica 1991-1997. CANTI, Tilde. O móvel no Brasil. Origem, evolução e características. Rio de Janeiro, Editora Agir/Lisboa, Fundação Ricardo do Espírito Santo, 1999.",Mesa
51,[Brasil],05 Interiores > 05.5 Peça de Mobiliário||brasil | minas gerais | mobiliário | século xix | século xviii,Não identificado,Daniel Mansur,2007.0||Século XIX,"Canapé em estilo Império, datável do século XIX, 2ª metade, de braços enrolados, um deles em forma de encosto, pernas curvas e pés em garra de animal.||Volutas, flores, torneados, pés em garra de animal, frisos.||Móvel em madeira clara, em várias partes recortadas, entalhadas, torneadas, encaixadas e fixadas por pregos; revestimento em palhinha trançada; pés em bronze fundido;||Canapé retangular, com pernas recurvadas para fora; pés em garra de animal; saia da frente reta, frisada, com flor retangular junto à saída das pernas; assento revestido por palhinha; possui um braço alto, recurvado para fora, onde termina em travessa torneada; e no centro, losangulos e revestimento de palhinha; no outro extremo, um braço mais baixo, enrolado para dentro, com pontas terminadas em flores, ligadas por travessa torneada; centro com losangulos; encosto de fundo, que se projeta até a metade do assento, onde termina em voluta, revestido por palhinha.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",98,Ficha Cadastral de 02-02-1975; Ficha de Conservação e Restauração de 21-09-1990; Ficha Topográfica 1991-1996,Canapé
52,Brasil | Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário||brasil | minas gerais | mobiliário | século xix | século xviii,Não identificado,Daniel Mansur,2007.0||Século XVIII,"Móvel de origem mineira, de porte elegante, com recortes curvos nos pés e almofadas grossas. Datável da 2a metade do século XVIII.||Recortes curvos, almofadas e molduras.||Em várias partes de madeira (vinhático e jacarandá), recortadas e encaixadas, com fixação por cavilhas; dobradiças em ferro batido; molduras e almofadas em jacarandá.||Armário com porta de duas folhas, cada qual com duas almofadas altas, em ponta de diamante, sem fechadura, apenas com tramela superior. Laterais terminadas em pés recortados em dois “esses” divergentes, com vazado cordiforme ao meio. Cimalha superior escalonada em frisos. Interior dividido em três compartimentos, por duas prateleiras horizontais.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",82,Ficha Cadastral de 26/01/1976; Ficha Topográfica de 23/04/ 1991; Ficha de Conservação e Restauração de 09/04/1990,Armário
53,Brasil | Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário||brasil | minas gerais | mobiliário | século xix | século xviii,Não identificado,Daniel Mansur,2007.0||Século XVIII - 2ª metade,"Catre de porte elegante, em jacarandá, com estrutura em elementos torneados, e a cabeceira apresentando pintura figurativa e entalhe sinuoso com elementos de gosto rococó, como cês, angras, esses e volutas. De origem certamente mineira.||Ornamentos: torneados, cês, angras, esses e volutas. Iconografia: figura de um anjo adulto, de barba, dormindo sobre um travesseiro vermelho, entre as nuvens; trata-se certamente de uma cena inspirada na mitologia grego-romana e bem em sintonia com o arcadismo da poesia da época.||Peça em jacarandá composta de várias partes recortadas, entalhadas e torneadas, encaixadas e fixadas por cavilhas; leito em couro cru esticado e fixado por pregos (alguns novos); policromia em azul, branco, verde, bege, vermelho, preto e marrom.||Catre de cabeceira recortada em curvas e contra-curvas, com contorno ressaltado em cês, esses e angras com volutas, e arremate inferior em concheado. Centro com pintura em azul e cena representando a figura de um anjo adulto, de barba, com as asas abertas, deitado sobre um travesseiro vermelho, sobre as nuvens; cercadura da cena em ramos com flores e fundo em confetes brancos. Laterais da cabeceira em colunas torneadas arrematadas por carrapetas e a parte inferior vazada em gradil com cinco grades torneadas. Pé em gradil de traves retas e lisas,e cinco grades torneadas, com as laterais em colunas iguais às da cabeceira, porém mais baixas. Pernas grossas, torneadas. Leito forrado em couro cru.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",78,"Ficha Cadastral de 29-01-1975; Ficha de Conservação e Restauração de 05-04-1990; Ficha Topográfica de 23-04-1991, agosto de 1996 e junho de 1997. Uma foto P&B no 266.",Catre
54,Brasil | Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário||brasil | minas gerais | mobiliário | século xix | século xviii,Não identificado,Daniel Mansur,2007.0||Século XVIII,"Arca de enxoval, em composição simples, com desenho retilíneo e comum, mas decorada com deliciosa pintura de gosto rococó, em cunho popular, onde se representa uma jovem mulher, em trajes setecentista, envolvidas por rocalhas e flores, em tons coloridos, bem ao gosto do período, em fins do século XVIII. De origem certamente mineira.||Molduras, frisos, pintura em motivo rococó, com flores, rocalhas, tarjas e figura de jovem mulher vestida em trajes setecentistas.||Arca em madeira recortada, em várias partes, com encaixes do tipo rabo-de-andorinha, com molduras supostas; ferragem composta por fechadura e espelho, lingüeta e duas dobradiças em ferro batido; policromia em têmpera oleosa nas cores vermelho, azul, branco, preto e verde.||Arca retangular horizontal, pintada externamente de vermelha, com base emoldurada e frisada; tampa emoldurada e frisada junto à borda; fechadura com lingüeta presa à tampa e espelho quadrado ao meio; Face interna da tampa com pintura de uma tarja-rocalha com flores, servindo de moldura a uma jovem mulher, de cabelos com coque e grinalda vermelha, com um buquê de flores nas mãos; vestida com vestido branco cingido por laço preto; sobre fundo azul claro; Interior da arca com pinturas laterais de buquês de rosas vermelhas e ramos verdes, sobre fundo azul claro; tem no canto esquerdo um compartimento transversal, também com pintura em motivos florais.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",77,Ficha Cadastral 26-01-1975; Ficha de Conservação e Restauração 05-04-1990; Ficha Topográfica 1991-1997. Foto P&B nº 255,Arca
55,Brasil,05 Interiores > 05.5 Peça de Mobiliário||brasil | minas gerais | mobiliário | século xix | século xviii,Não identificado,Daniel Mansur,2007.0||Século XIX | Século XVIII,"Curiosa mesa de dobrar, de estrutura torneada, com tampo elíptico, datável do século XVIII ou XIX, de origem mineira, proveniente da Fazenda do Jagoara.||Torcidos, torneados, bolachas e frisos.||Móvel em madeira (jacarandá), composto de várias partes recortadas, torneadas, encaixadas e fixadas por cavilhas; dobradiças em ferro batido articulam os tampos dobráveis; pernas dobráveis giram no eixo das hastes encaixadas.||Mesa com tampo elíptico, em três pranchas, sendo a do meio fixa e as outras duas dobráveis; borda em entalhe de torçal; caixa lisa e reta, de formato retangular, com gaveta de puxador torneado em sua lateral mais estreita; quatro pernas torneadas em bolachas e nó goticulado ao centro; elementos quadrangulares na parte inferior, onde se prendem as travessas da amarração, também torneadas; possui ainda duas pernas extras, dobráveis, que servem de sustento às partes dobráveis do tampo, com travessas verticais e horizontais, também em torneados.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",72,"Ficha Cadastral de 21-01-1975; Ficha de Conservação e Restauração 04-04-1990; Ficha Topográfica 1991-1997; Foto P&B nº 251 (1) BAYEUX, Glória. O Móvel da Casa Brasileira. São Paulo, Museu da Casa Brasileira, 1997. (2) MOUTINHO, Stella Rodrigo Octavio et alli. Dicionário de Artes Decorativas e Decoração de Interiores. Ed. Nova Fronteira, 1999.",Mesa de aba e cancela
56,[Minas Gerais],05 Interiores > 05.5 Peça de Mobiliário||brasil | minas gerais | mobiliário | século xix | século xviii,Não identificado,Daniel Mansur,2007.0||Século XVIII,"Arca mineira, datável do século XVIII, de desenho elegante e robusto, com almofadas bem salientes e pés em bolacha.||Almofadas em losangulos e retangulos, molduras, recortes em cruz nas ferragens, pés em bolachas.||Móvel em madeira (vinhático), composta de várias partes recortadas, entalhadas, encaixadas e fixadas por cravos; molduras e almofadas ( jacarandá) supostas; gavetas com encaixe rabo-de-andorinha; ferragem em ferro fundido e batido.||Arca retangular horizontal, sobre quatro pés em bolacha; base emoldurada; registro inferior em duas gavetas, de par de almofadas altas, com fechadura de espelho recortado em cruz; registro superior em três almofadas altas, sendo duas de formato losangular e uma retangular ao meio; fechadura com espelho de recorte em cruz; laterais com par de almofadas altas inferiores e uma losangular, também alta, em cima; tampa de borda emoldurada, com uma lingueta curta por dentro; interior com o fundo entalhado em duas rosáceas grandes; canto direito, ao alto, um compartimento tampado.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",70,"Ficha Cadastral de 22-1-1975, Ficha de Conservação e Restauração de 03-04-1990; Ficha Topográfica 1991-1997; 1 foto P&B.",Arca cômoda
57,Brasil | Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário||brasil | minas gerais | mobiliário | século xix | século xviii,Não identificado,Daniel Mansur,2007.0||Século XVIII,"Cômoda papeleira século XVIII/XIX, de linhas retas, mas de porte elegante, de execução esmerada, com trabalhos de marchetaria e recorte curvilíneos; ferragem em bronze; de origem possivelmente mineira.||Molduras, frisos, recortes curvilíneos, esses.||Móvel em madeira clara, composto de várias partes recortadas, encaixadas e fixadas por cavilhas; puxadores torneados; ferragem em bronze fundido e gravado; partes marchetadas.||Cômoda retangular, de pés de quina, recortados em curvas; base em moldura larga, frisada; metade inferior em dois gavetões, de borda emoldurada, com fechaduras de espelhos em recortes curvos, com elementos apontados e par de puxadores semi-elípticos, com espelhos em recortes curvos, com esses nos extremos e elementos trilobulados gravado com desenho de elementos fitomorfos entrelaçados e ondulados; metade superior com duas gavetas, dispostas lado a lado, na horizontal, de bordas emolduradas e ferragem igual à anterior; moldura superior; parte superior com tampa inclinada, de borda emoldurada; fechadura com espelho elíptico, em recortes curvos; interior dividido em 14 compartimentos; sendo cinco inferiores com gavetas de puxadores torneados; três gavetas do centro sinuosas e as duas dos cantos retas; nove escaninhos superiores, separados por divisórias de recortes curvos; o desenho acompanha a sinuosidade das gavetas; tampo interno com um compartimento secreto, com tampa de correr, com a borda em recortes curvos emoldurados; a tampa inclinada, quando aberta, fica apoiada sobre duas barras de secção quadrangular, com puxadores torneados, que ficam embutidas nos cantos superiores da cômoda.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",69,Ficha Cadastral de 21-01-1975; Ficha de Conservação e Restauração de 06-04-1990; Ficha Topográfica 1991-1997.,Cômoda-papeleira
58,Mato Grosso,03 Objetos Pecuniários||brasil | fundição | mato grosso | século xix,Casa de Fundição de Mato Grosso,,1816 | Século XIX||15/09/1942,"Barra de ouro de 23 quilates fundida na Antiga Casa de Fundição de Mato Grosso no ano de 1816.||Iconografia: Armas da Coroa Portuguesa com as cinco quinas rodeadas por sete castelos entre ramos de oliveira, coroado por cima; a Esfera Armilar.||Peça em ouro fundido e marcado.||Barra retangular irregular e grossa. Em uma face apresenta as Armas da Coroa, o no da Barra (659), a data (1816), a marca do ourives ensaiador (IDRF ou IDBF), a marca do toque e do quilate (23), a marca de um grão (a flor), e o peso 6-5-3-54 (seis marcos, cinco onças, três oitavas e cinqüenta e quatro grãos). Na outra face, a Esfera Armilar.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",1||2 | 3 | 4 | 5 | 6,"Ficha Cadastral de 05-01-1972; Ficha de Conservação e Restauração de 05-03-1990; Ficha Topográfica de 23-04-1991 e agosto de 1996. Ficha de Remanejamento, com várias datas, sendo a última de agosto de 1990. Duas fotos P&B (18 x 12,5) números 171 e 173. Documento datilografado, com o histórico da barra, assinado pelo numismata Hermann Porcher, datado de janeiro de 1940, e que se encontra anexado a pasta catalográfica da peça.",Barra de ouro
