,Abrangência/ Cobertura,Assunto/ palavras-chave,Descrição,Identifier,Tipo do recurso,Título
842,"Santa Catarina||São Francisco do Sul||-26,243149999999996  -48,63894169999999||Não informado",Não encontrado.,,Não encontrado.||Não informado,Artefato,
843,"Rio de Janeiro||Vassouras||-22,404319399999988  -43,6578||Não informado",Não encontrado.,colorida@4x.png,Não encontrado.||Não informado,Conjunto Urbano,logo patrimônio cultural colorida
844,"Rio Grande do Sul||Pelotas||-31,770602800000006  -52,3401444||Não informado",Não encontrado.,Imovel Praça Pedro Osorio - Pelotas - RS - Nabil Bonduk (2).bmp||Imovel Praça Pedro Osorio - Pelotas - RS - Nabil Bonduk (2).bmp,Não encontrado.||Não informado,Edificação,Praça Coronel Pedro Osório||Praça Coronel Pedro Osório
845,"Rio Grande do Sul||Pelotas||-31,76906669999999  -52,341038899999994||Não informado",Não encontrado.,,Não encontrado.||Não informado,Edificação,
846,"Rio Grande do Sul||Piratini||-31,44863700000001  -53,105094||Não informado",Não encontrado.,colorida@4x.png,Não encontrado.||Não informado,Edificação,logo patrimônio cultural colorida
847,"Rio Grande do Sul||Piratini||-31,447121999999997  -53,102876||Não informado",Não encontrado.,colorida@4x.png,Não encontrado.||Não informado,Edificação,logo patrimônio cultural colorida
848,"Santa Catarina||Rio dos Cedros||-26,73948609999999  -49,27321109999999||Não informado",Não encontrado.,Escola e casa do professor-rio dos cedros.jpg||Escola e casa do professor-rio dos cedros.jpg,Não encontrado.||Não informado,Conjunto Arquitetônico,Escola Rural e Casa do Professor||Escola Rural e Casa do Professor
849,"Rio Grande do Sul||Piratini||-31,44430830000002  -53,1035861||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
850,"Santa Catarina||Indaial||-26,894299999999998  -49,2332||Não informado",Não encontrado.,"Casa Schroeder, Luiza.jpg||Casa Schroeder, Luiza.jpg",Não encontrado.||Não informado,Edificação,"Casa Schroeder, Luiza||Casa Schroeder, Luiza"
851,"Rio de Janeiro||Angra dos Reis||-23,008963899999998  -44,3194278||Não informado",Não encontrado.,17 - Mambucaba - 09.04.23.JPG,Não encontrado.||Não informado,Conjunto Arquitetônico,"Mambucaba, RJ"
852,"Rio Grande do Sul||Porto Alegre||-30,027418301960193  -51,231986745955254||Não informado",Não encontrado.,Portico.jpg,Não encontrado.||Não informado,Conjunto Arquitetônico,Pórtico
853,"Rio Grande do Sul||Porto Alegre||-30,028102800000013  -51,22873059999999||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
854,"Amazonas||Manaus||-3,122484912535841  -59,89634806272783||Não informado",Não encontrado.,,Não encontrado.||Não informado,Paisagem,
855,"Santa Catarina||Blumenau||-26,914033299999993  -49,069502799999995||Não informado",Não encontrado.,casa bauer.jpg||casa bauer.jpg,Não encontrado.||Não informado,Edificação,"Casa Bauer, Nelson||Casa Bauer, Nelson"
856,"Rio Grande do Sul||Porto Alegre||-30,028102800000013  -51,22873059999999||Não informado",Não encontrado.,Acervo do Museu Júlio de Castilhos - Marcel Gautherot.jpg||Acervo do Museu Júlio de Castilhos - Marcel Gautherot.jpg,Não encontrado.||Não informado,Coleção,Peça da coleção do Museu Júlio de Castilhos||Peça da coleção do Museu Júlio de Castilhos
857,"Rio Grande do Sul||Porto Alegre||-30,032913999999998  -51,230186||Não informado",Não encontrado.,Praça da Matriz e Adjacentes - Porto Alegre - RS - Márcio Vianna (8).JPG||Praça da Matriz e Adjacentes - Porto Alegre - RS - Márcio Vianna (8).JPG||Praça da Matriz e Adjacentes - Porto Alegre - RS - Márcio Vianna (8).JPG||Praça da Matriz e Adjacentes - Porto Alegre - RS - Márcio Vianna (8).JPG||Praça da Matriz e Adjacentes - Porto Alegre - RS - Márcio Vianna (8).JPG||Praça da Matriz e Adjacentes - Porto Alegre - RS - Márcio Vianna (8).JPG||Praça da Matriz e Adjacentes - Porto Alegre - RS - Márcio Vianna (8).JPG||Praça da Matriz e Adjacentes - Porto Alegre - RS - Márcio Vianna (8).JPG||Praça da Matriz e Adjacentes - Porto Alegre - RS - Márcio Vianna (8).JPG||Praça da Matriz e Adjacentes - Porto Alegre - RS - Márcio Vianna (8).JPG||Praça da Matriz e Adjacentes - Porto Alegre - RS - Márcio Vianna (8).JPG||Praça da Matriz e Adjacentes - Porto Alegre - RS - Márcio Vianna (8).JPG||Praça da Matriz e Adjacentes - Porto Alegre - RS - Márcio Vianna (8).JPG,Não encontrado.||Não informado,Conjunto Urbano,Praça da Matriz||Praça da Matriz||Praça da Matriz||Praça da Matriz||Praça da Matriz||Praça da Matriz||Praça da Matriz||Praça da Matriz||Praça da Matriz||Praça da Matriz||Praça da Matriz||Praça da Matriz||Praça da Matriz
858,"Goiás||Goiás||-15,933669399999998  -50,1402528||Não informado",Não encontrado.,GOcidadedegoias8-01.jpg||GOcidadedegoias8-01.jpg||GOcidadedegoias8-01.jpg||GOcidadedegoias8-01.jpg||GOcidadedegoias8-01.jpg||GOcidadedegoias8-01.jpg||GOcidadedegoias8-01.jpg||GOcidadedegoias8-01.jpg||GOcidadedegoias8-01.jpg||GOcidadedegoias8-01.jpg||GOcidadedegoias8-01.jpg||GOcidadedegoias8-01.jpg||GOcidadedegoias8-01.jpg||GOcidadedegoias8-01.jpg||GOcidadedegoias8-01.jpg||GOcidadedegoias8-01.jpg||GOcidadedegoias8-01.jpg||GOcidadedegoias8-01.jpg||GOcidadedegoias8-01.jpg||GOcidadedegoias8-01.jpg||GOcidadedegoias8-01.jpg||GOcidadedegoias8-01.jpg||GOcidadedegoias8-01.jpg||GOcidadedegoias8-01.jpg||GOcidadedegoias8-01.jpg||GOcidadedegoias8-01.jpg||GOcidadedegoias8-01.jpg||GOcidadedegoias8-01.jpg,Não encontrado.||ID Unesco - 993,Conjunto Urbano,"Goiás, GO||Goiás, GO||Goiás, GO||Goiás, GO||Goiás, GO||Goiás, GO||Goiás, GO||Goiás, GO||Goiás, GO||Goiás, GO||Goiás, GO||Goiás, GO||Goiás, GO||Goiás, GO||Goiás, GO||Goiás, GO||Goiás, GO||Goiás, GO||Goiás, GO||Goiás, GO||Goiás, GO||Goiás, GO||Goiás, GO||Goiás, GO||Goiás, GO||Goiás, GO||Goiás, GO||Goiás, GO"
859,"Santa Catarina||Pomerode||-26,741755600000022  -49,1750694||Não informado",Não encontrado.,Sitio Tribess.jpg||Sitio Tribess.jpg,Não encontrado.||Não informado,Conjunto Arquitetônico,Sítio Tribess||Sítio Tribess
860,"Rio Grande do Sul||Porto Alegre||-30,032349000000004  -51,235536||Não informado",Não encontrado.,Igreja N S Dores.jpg||Igreja N S Dores.jpg,Não encontrado.||Não informado,Edificação,Nossa Senhora das Dores||Nossa Senhora das Dores
861,"Rio Grande do Sul||Porto Alegre||-30,029604647136278  -51,212477028133826||Não informado",Não encontrado.,Palácio Argentina - RS.jpg,Não encontrado.||Não informado,Edificação,Palacete Argentina
862,"Santa Catarina||Pomerode||-26,741755600000022  -49,1750694||Não informado",Não encontrado.,Comercio Weege.jpg||Comercio Weege.jpg,Não encontrado.||Não informado,Edificação,Comércio Weege||Comércio Weege
863,"Rio de Janeiro||Rio de Janeiro||-22,901508300000028  -43,1846056||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
864,"Santa Catarina||Pomerode||-26,741755600000022  -49,1750694||Não informado",Não encontrado.,Comercio Haut.jpg||Comercio Haut.jpg,Não encontrado.||Não informado,Edificação,Comércio Haut||Comércio Haut
865,"Rio Grande do Sul||Porto Alegre||-30,028102800000013  -51,22873059999999||Não informado",Não encontrado.,Outros Adjacentes - Porto Alegre - RS - Márcio Vianna (53).JPG||Outros Adjacentes - Porto Alegre - RS - Márcio Vianna (53).JPG||Outros Adjacentes - Porto Alegre - RS - Márcio Vianna (53).JPG,Não encontrado.||Não informado,Edificação,Correios||Correios||Correios
866,"Santa Catarina||Pomerode||-26,741755600000022  -49,1750694||Não informado",Não encontrado.,Casa Wunderwald.jpg||Casa Wunderwald.jpg,Não encontrado.||Não informado,Edificação,Casa Wunderwald||Casa Wunderwald
867,"Minas Gerais||Caeté||-19,898447199999996  -43,6708667||Não informado",Não encontrado.,img_1001_005.jpg||img_1001_005.jpg,Não encontrado.||Não informado,Conjunto Arquitetônico,Santuário de Nossa Senhora da Piedade: conjunto arquitetônico e paisagístico||Santuário de Nossa Senhora da Piedade: conjunto arquitetônico e paisagístico
868,"Santa Catarina||Pomerode||-26,741755600000022  -49,1750694||Não informado",Não encontrado.,"Casa Wacholz, Felipe.jpg||Casa Wacholz, Felipe.jpg",Não encontrado.||Não informado,Edificação,"Casa Wacholz, Felipe||Casa Wacholz, Felipe"
869,"Rio de Janeiro||Rio de Janeiro||-23,022238900000005  -43,54635||Não informado",Não encontrado.,Rio de Janeiro_RJ_Sítio Roberto Burle Marx _Claudia Bastos Nascimento 16122016 (2).jpg||Rio de Janeiro_RJ_Sítio Roberto Burle Marx _Claudia Bastos Nascimento 16122016 (2).jpg||Rio de Janeiro_RJ_Sítio Roberto Burle Marx _Claudia Bastos Nascimento 16122016 (2).jpg||Rio de Janeiro_RJ_Sítio Roberto Burle Marx _Claudia Bastos Nascimento 16122016 (2).jpg||Rio de Janeiro_RJ_Sítio Roberto Burle Marx _Claudia Bastos Nascimento 16122016 (2).jpg||Rio de Janeiro_RJ_Sítio Roberto Burle Marx _Claudia Bastos Nascimento 16122016 (2).jpg||Rio de Janeiro_RJ_Sítio Roberto Burle Marx _Claudia Bastos Nascimento 16122016 (2).jpg||Rio de Janeiro_RJ_Sítio Roberto Burle Marx _Claudia Bastos Nascimento 16122016 (2).jpg||Rio de Janeiro_RJ_Sítio Roberto Burle Marx _Claudia Bastos Nascimento 16122016 (2).jpg||Rio de Janeiro_RJ_Sítio Roberto Burle Marx _Claudia Bastos Nascimento 16122016 (2).jpg||Rio de Janeiro_RJ_Sítio Roberto Burle Marx _Claudia Bastos Nascimento 16122016 (2).jpg||Rio de Janeiro_RJ_Sítio Roberto Burle Marx _Claudia Bastos Nascimento 16122016 (2).jpg||Rio de Janeiro_RJ_Sítio Roberto Burle Marx _Claudia Bastos Nascimento 16122016 (2).jpg,Não encontrado.||Não informado,Jardim Histórico,"Sítio Roberto Burle Marx, Rio de Janeiro, RJ (2016)||Sítio Roberto Burle Marx, Rio de Janeiro, RJ (2016)||Sítio Roberto Burle Marx, Rio de Janeiro, RJ (2016)||Sítio Roberto Burle Marx, Rio de Janeiro, RJ (2016)||Sítio Roberto Burle Marx, Rio de Janeiro, RJ (2016)||Sítio Roberto Burle Marx, Rio de Janeiro, RJ (2016)||Sítio Roberto Burle Marx, Rio de Janeiro, RJ (2016)||Sítio Roberto Burle Marx, Rio de Janeiro, RJ (2016)||Sítio Roberto Burle Marx, Rio de Janeiro, RJ (2016)||Sítio Roberto Burle Marx, Rio de Janeiro, RJ (2016)||Sítio Roberto Burle Marx, Rio de Janeiro, RJ (2016)||Sítio Roberto Burle Marx, Rio de Janeiro, RJ (2016)||Sítio Roberto Burle Marx, Rio de Janeiro, RJ (2016)"
870,"Santa Catarina||Pomerode||-26,741755600000022  -49,1750694||Não informado",Não encontrado.,"Casa Voight, Ella.jpg||Casa Voight, Ella.jpg",Não encontrado.||Não informado,Edificação,"Casa Voigt, Ella||Casa Voigt, Ella"
871,"Rio de Janeiro||Rio de Janeiro||-22,91135280000001  -43,20555829999999||Não informado",Não encontrado.,DSC_5127.JPG||DSC_5127.JPG||DSC_5127.JPG,Não encontrado.||Não informado,Edificação,"Prédio na Av. Rio Branco, nº 46, sede da Companhia Docas de Santos||Prédio na Av. Rio Branco, nº 46, sede da Companhia Docas de Santos||Prédio na Av. Rio Branco, nº 46, sede da Companhia Docas de Santos"
872,"Rio Grande do Sul||Porto Alegre||-30,028102800000013  -51,22873059999999||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Conjunto Arquitetônico,Logo Bem Cultural
873,"Santa Catarina||Pomerode||-26,741755600000022  -49,1750694||Não informado",Não encontrado.,"Casa sievert, Wendelin.jpg||Casa sievert, Wendelin.jpg",Não encontrado.||Não informado,Edificação,"Casa Siewert, Wendelin, em Testo Alto||Casa Siewert, Wendelin, em Testo Alto"
874,"Minas Gerais||Diamantina||-18,244976000000015  -43,597425||Não informado",Não encontrado.,img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg||img_1501_006.jpg,Não encontrado.||ID Unesco - 890,Conjunto Urbano,"Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico||Diamantina, MG: conjunto arquitetônico e urbanístico"
875,"Rio de Janeiro||Cabo Frio||-22,877183300000013  -42,01400000000001||Não informado",Não encontrado.,logoColorida@4x.png,Não encontrado.||Não informado,Conjunto Urbano,Logo Patrimônio Cultural
876,"Rio Grande do Sul||Rio Grande||-32,030189982679595  -52,091219644333684||Não informado",Não encontrado.,,Não encontrado.||Não informado,Artefato,
877,"Santa Catarina||Pomerode||-26,741755600000022  -49,1750694||Não informado",Não encontrado.,"Casa Sievert, Ovidio.jpg||Casa Sievert, Ovidio.jpg",Não encontrado.||Não informado,Edificação,"Casa Siewert, Ovídio||Casa Siewert, Ovídio"
878,"Minas Gerais||Ibiá||-19,476794399999996  -46,53375||Não informado",Não encontrado.,,Não encontrado.||Não informado,Coleção,
879,"Rio Grande do Sul||Rio Grande||-32,03083121826122  -52,0947547958139||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
880,"Santa Catarina||Pomerode||-26,741755600000022  -49,1750694||Não informado",Não encontrado.,"Casa Raduenz, Walter.jpg||Casa Raduenz, Walter.jpg",Não encontrado.||Não informado,Edificação,"Casa Raduenz, Walter||Casa Raduenz, Walter"
881,"Rio de Janeiro||Cabo Frio||-22,8852806  -42,0079944||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
882,"Santa Catarina||Pomerode||-26,741755600000022  -49,1750694||Não informado",Não encontrado.,"Casa Lumke, helmut.jpg||Casa Lumke, helmut.jpg",Não encontrado.||Não informado,Edificação,"Casa Lümke, Helmut (casa de taipa)||Casa Lümke, Helmut (casa de taipa)"
883,"Santa Catarina||Pomerode||-26,67598587554996  -49,14103193324095||Não informado",Não encontrado.,"Casa Hardt, Erich.jpg||Casa Hardt, Erich.jpg",Não encontrado.||Não informado,Edificação,"Casa Hardt, Erich||Casa Hardt, Erich"
884,"Santa Catarina||Pomerode||-26,741755600000022  -49,1750694||Não informado",Não encontrado.,Casa Arndt-casa da crista.jpg||Casa Arndt-casa da crista.jpg,Não encontrado.||Não informado,Edificação,"Casa Arndt, Erwin (Casa da Crista)||Casa Arndt, Erwin (Casa da Crista)"
885,"Rio Grande do Sul||Rio Grande||-32,0311722991876  -52,09742091157518||Não informado",Não encontrado.,spsf.jpeg||spsf.jpeg,Não encontrado.||Não informado,Edificação,Igreja Matriz de São Pedro e Capela da Ordem Terceira de São Francisco||Igreja Matriz de São Pedro e Capela da Ordem Terceira de São Francisco
886,"Santa Catarina||Orleans||-28,359508299999998  -49,29038330000001||Não informado",Não encontrado.,Casa Barzan.jpg||Casa Barzan.jpg,Não encontrado.||Não informado,Edificação,"Casa Barzan, João Félix||Casa Barzan, João Félix"
887,"Pernambuco||Recife||-8,0625667  -34,8771778||Não informado",Não encontrado.,capela dourada.jpg||capela dourada.jpg,Não encontrado.||Não informado,Edificação,Capela Dourada||Capela Dourada
888,"Rio de Janeiro||Cabo Frio||-22,877183300000002  -42,01400000000001||Não informado",Não encontrado.,logoColorida@4x.png,Não encontrado.||Não informado,Conjunto Arquitetônico,Logo Patrimônio Cultural
889,"Minas Gerais||Ibiá||-19,476794399999996  -46,53375||Não informado",Não encontrado.,logoColorida@4x.png,Não encontrado.||Não informado,Conjunto Arquitetônico,Logo Patrimônio Cultural
890,"Rio Grande do Sul||Rio Pardo||-29,98697082712455  -52,38038884796451||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Conjunto Urbano,Logo Bem Cultural
891,"Santa Catarina||Nova Veneza||-28,642392922306577  -49,48247864461585||Não informado",Não encontrado.,Casa de pedra da familia Bratti.jpg||Casa de pedra da familia Bratti.jpg,Não encontrado.||Não informado,Edificação,"Casa de Pedra da Família Bratti, na Estrada que liga Nova Veneza a Caravaggio||Casa de Pedra da Família Bratti, na Estrada que liga Nova Veneza a Caravaggio"
892,"Pernambuco||Recife||-8,020563900000003  -34,939025||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
893,"Rio de Janeiro||Magé||-22,656922200000004  -43,03883330000001||Não informado",Não encontrado.,,Não encontrado.||Não informado,Obras de Engenharia,
894,"Santa Catarina||Guabiruba||-27,08644999999999  -48,977452799999995||Não informado",Não encontrado.,Casa Ulrich.jpg||Casa Ulrich.jpg,Não encontrado.||Não informado,Edificação,"Casa Ulrich, Helmut, em São Pedro||Casa Ulrich, Helmut, em São Pedro"
895,"Santa Catarina||Florianópolis||-27,595075000000005  -48,5562806||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
896,"Rio de Janeiro||Niterói||-22,901683299999995  -43,125936100000004||Não informado",Não encontrado.,Niteroi_Casa Ary parreiras 2_Ivo Barreto.jpg.jpg||Niteroi_Casa Ary parreiras 2_Ivo Barreto.jpg.jpg,Não encontrado.||Não informado,Edificação,Museu Antônio Parreiras||Museu Antônio Parreiras
897,"Pernambuco||Recife||-8,05735  -34,8874528||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
898,"Santa Catarina||Blumenau||-26,914033299999993  -49,069502799999995||Não informado",Não encontrado.,"casa Hoerning, Alcides.jpg||casa Hoerning, Alcides.jpg",Não encontrado.||Não informado,Edificação,"Casa Hoerning, Alcides, em Vila toupava||Casa Hoerning, Alcides, em Vila toupava"
899,"Rio de Janeiro||Rio de Janeiro||-22,917380600000033  -43,1841306||Não informado",Não encontrado.,1-OHL_4076.JPG||1-OHL_4076.JPG||1-OHL_4076.JPG||1-OHL_4076.JPG,Não encontrado.||Não informado,Edificação,Chácara do Céu||Chácara do Céu||Chácara do Céu||Chácara do Céu
900,"Pernambuco||Recife||-8,064255600000001  -34,8787833||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
901,"Pernambuco||Recife||-8,064255600000001  -34,8787833||Não informado",Não encontrado.,Convento Sto. Antonio - Recife - PE - Nelson Kon (3).jpg||Convento Sto. Antonio - Recife - PE - Nelson Kon (3).jpg,Não encontrado.||Não informado,Edificação,Convento e Igreja de Santo Antônio||Convento e Igreja de Santo Antônio
902,"Rio Grande do Sul||Santa Maria||-29,685169399999996  -53,80347780000001||Não informado",Não encontrado.,,Não encontrado.||Não informado,Coleção,
903,"Minas Gerais||Lagoa Santa||-19,62655000000001  -43,8951028||Não informado",Não encontrado.,img_2001_002.jpg,Não encontrado.||Não informado,Conjunto Arquitetônico,Túmulos do Dr. Peter Wilhen Lund e de seus colaboradores
904,"Minas Gerais||Mariana||-20,373713899999984  -43,4163694||Não informado",Não encontrado.,Vista da Ig - Mariana - MG - Nabil Bonduk (2).jpg||Vista da Ig - Mariana - MG - Nabil Bonduk (2).jpg||Vista da Ig - Mariana - MG - Nabil Bonduk (2).jpg||Vista da Ig - Mariana - MG - Nabil Bonduk (2).jpg||Vista da Ig - Mariana - MG - Nabil Bonduk (2).jpg||Vista da Ig - Mariana - MG - Nabil Bonduk (2).jpg||Vista da Ig - Mariana - MG - Nabil Bonduk (2).jpg||Vista da Ig - Mariana - MG - Nabil Bonduk (2).jpg||Vista da Ig - Mariana - MG - Nabil Bonduk (2).jpg||Vista da Ig - Mariana - MG - Nabil Bonduk (2).jpg||Vista da Ig - Mariana - MG - Nabil Bonduk (2).jpg||Vista da Ig - Mariana - MG - Nabil Bonduk (2).jpg||Vista da Ig - Mariana - MG - Nabil Bonduk (2).jpg||Vista da Ig - Mariana - MG - Nabil Bonduk (2).jpg||Vista da Ig - Mariana - MG - Nabil Bonduk (2).jpg||Vista da Ig - Mariana - MG - Nabil Bonduk (2).jpg||Vista da Ig - Mariana - MG - Nabil Bonduk (2).jpg||Vista da Ig - Mariana - MG - Nabil Bonduk (2).jpg||Vista da Ig - Mariana - MG - Nabil Bonduk (2).jpg||Vista da Ig - Mariana - MG - Nabil Bonduk (2).jpg||Vista da Ig - Mariana - MG - Nabil Bonduk (2).jpg||Vista da Ig - Mariana - MG - Nabil Bonduk (2).jpg,Não encontrado.||Não informado,Conjunto Urbano,"Mariana, MG||Mariana, MG||Mariana, MG||Mariana, MG||Mariana, MG||Mariana, MG||Mariana, MG||Mariana, MG||Mariana, MG||Mariana, MG||Mariana, MG||Mariana, MG||Mariana, MG||Mariana, MG||Mariana, MG||Mariana, MG||Mariana, MG||Mariana, MG||Mariana, MG||Mariana, MG||Mariana, MG||Mariana, MG"
905,"Pernambuco||Recife||-8,066038899999995  -34,8799139||Não informado",Não encontrado.,Basilica Convento Carmo - Recife - PE - Nelson Kon (1).jpg||Basilica Convento Carmo - Recife - PE - Nelson Kon (1).jpg||Basilica Convento Carmo - Recife - PE - Nelson Kon (1).jpg||Basilica Convento Carmo - Recife - PE - Nelson Kon (1).jpg,Não encontrado.||Não informado,Edificação,Convento do Carmo||Convento do Carmo||Convento do Carmo||Convento do Carmo
906,"Rio de Janeiro||Rio de Janeiro||-22,906648999999994  -43,183535||Não informado",Não encontrado.,Solar Visconde do Rio Seco  - Rio de Janeiro - RJ - Mônica Zarattini(9).JPG,Não encontrado.||Não informado,Edificação,visconde do rio seco
907,"Pernambuco||Recife||-8,071858299999993  -34,8808917||Não informado",Fortificações,fachada__forte_cinco_pontas.JPG||fachada__forte_cinco_pontas.JPG||fachada__forte_cinco_pontas.JPG||fachada__forte_cinco_pontas.JPG||fachada__forte_cinco_pontas.JPG,Patrimônio Militar no Estado de Pernambuco||Não informado,Edificação,Forte das Cinco Pontas - fachada||Forte das Cinco Pontas - fachada||Forte das Cinco Pontas - fachada||Forte das Cinco Pontas - fachada||Forte das Cinco Pontas - fachada
908,"Minas Gerais||Matozinhos||-19,5577139  -44,0819694||Não informado",Não encontrado.,img_2601_002.jpg||img_2601_002.jpg||img_2601_002.jpg,Não encontrado.||Não informado,Sítio,Lapa da Cerca Grande||Lapa da Cerca Grande||Lapa da Cerca Grande
909,"Rio Grande do Norte||Acari||-6,435469400000008  -36,6393583||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
