Agente,Descrição,Document,Link do Item,Número do Programa,Título
Pena Branca e Xavantinho,"Com um trabalho voltado para a valorização do homem do campo, essa dupla conquistou desde o público de exposições agropecuárias até platéias de casas noturnas sofisticadas. De norte a sul do país, tocaram os corações brasileiros ao resgatar nossas raízes culturais e ao denunciar o sofrimento do povo por meio de letras corajosas e interpretações tocantes.
O Estúdio F vai virar sertão. Pena Branca e Xavantinho estão no ar.

 

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",13131,https://www.funarte.gov.br/estudio-f/estudio-f-pena-branca-xavantinho/,120,120 - Pena Branca e Xavantinho
Joyce,"Filha de mãe brasileira e pai dinamarquês, essa carioca criada no Posto Seis em Copacabana aprendeu sozinha a tocar violão ainda na adolescência. Mal sabia ela que, naquele instante, começava um casamento pra vida inteira, de repercussão mundial. A bela moça até chegou a estudar jornalismo, mas largou tudo para viver sua grande paixão pela música.

Internacional, mas da cor brasileira, Joyce dá seu toque feminino ao Estudo F.

Ouça o programa:

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",13123,https://www.funarte.gov.br/estudio-f/estudio-f-joyce/,121,121 - Joyce
Elis Regina,"Aos 11 anos de idade, ela já fazia parte do elenco fixo da Rádio Farroupilha de Porto Alegre. Nessa época, seus ídolos eram Ângela Maria e Cauby Peixoto, astros da Rádio Nacional do Rio de Janeiro. Em sua estréia no programa Clube do Guri, essa ainda aspirante a estrela interpretou “Lábios de Mel”, um bolero, gênero pelo qual era assumidamente apaixonada.  Não é por acaso, portanto, que, ao longo da sua carreira, figurem vários boleros entre seus sucessos como, por exemplo, “Dois pra lá, dois pra cá”, “Beguine dodói”, “As aparências enganam” e “Me deixas louca”. Mas foi com a música “Bolero de Satã”, composta por Guinga e Paulo César Pinheiro, que nossa intérprete realizou o sonho de cantar com seu ídolo Cauby Peixoto. Já sabem quem é essa mulher?

ELA é Elis Regina Carvalho Costa e, com muita pimenta, Estúdio F está no ar!

Ouça o programa:

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",32166,https://www.funarte.gov.br/estudio-f/estudio-f-elis-regina/,122,122 - Elis Regina
Alcione,"Embora diga em uma de suas músicas mais famosas que não precisa de apresentação, Alcione Dias Nazareth tem tantas qualidades que merece, sim, uma introdução. Quarta filha de Felipa e João Carlos - um mestre de banda da Polícia Militar e professor de música -, Alcione aprendeu cedo a tocar diversos instrumentos de sopro. Daí para sua estreia profissional aos 12 anos foi um pulo. Este ""Estúdio F - série intérpretes"" é sobre a Marrom.

Clique no player e ouça o programa.

O ""Estúdio F"" aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio (1130 AM) transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ""Estúdio F"" é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",12986,https://www.funarte.gov.br/estudio-f/estudio-f-alcione/,124,124 - Alcione
Fagner,"Aos cinco anos, Fagner tirou o primeiro lugar de um concurso de canto promovido por uma rádio de Fortaleza. Já adolescente, nos colégios em que estudou, formou grupos vocais e conjuntos de rock até que, em 1968, conquistou o primeiro lugar no quarto Festival de Música Popular do Ceará com a composição ""Nada sou"".

Em 1971, o cantor e compositor se muda para Brasília, a fim de cursar arquitetura. Fagner participou, então, do Festival de Música Popular do Centro de Estudos Universitários da cidade com as composições ""Manera frufru manera"", ""Cavalo Ferro"" e ""Mucuripe"", parceria com Belchior que se sagrou vencedora. Do curso ele desistiu logo no primeiro ano. Da música, nunca mais. Por isso este ""Estúdio F"" é sobre ele.

Clique no player e ouça o programa:

O “Estúdio F” aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio (1130 AM) transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O “Estúdio F” é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",12837,https://www.funarte.gov.br/estudio-f/estudio-f-fagner/,123,123 - Fagner
Altemar Dutra,"De músico autodidata no interior do Espírito Santo, ele se tornou crooner de boate no Rio de Janeiro. Era apenas o começo da estrada para aquele que se tornaria um ícone do bolero, não só no Brasil e na América Latina, mas também entre o público latino residente nos Estados Unidos.

Das Américas para o Estúdio F, o trovador Altemar Dutra é o destaque da Série Intérpretes.

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",13386,https://www.funarte.gov.br/estudio-f/estudio-f-altemar-dutra/,95,095 - Altemar Dutra
Carmélia Alves,"Filha de um cearense com uma baiana,  Carmélia Alves nasceu  em Bangu e desde cedo entrou em contato com a música do Norte e do  Nordeste do país  nas reuniões de repentistas que seus pais promoviam em casa. Mal  sabia a jovem que entre aqueles ritmos, um deles a transformaria em  soberana: o baião.

Conhecida como Rainha do Baião, Carmélia Alves é a homenageada neste 'Estúdio F'.

Clique no player e ouça o programa:

O “Estúdio F” aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio (1130 AM) transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O “Estúdio F” é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",13258,https://www.funarte.gov.br/estudio-f/estudio-f-carmelia-alves/,125,125 - Carmélia Alves
Bezerra da Silva,"Pernambucano de nascimento, Bezerra da Silva veio para o Rio de Janeiro aos 15 anos escondido em um navio. Na Cidade Maravilhosa, o rapaz fez do Morro do Cantagalo sua morada e trabalhou como pintor na construção civil. Mesmo com uma atividade tão distante de suas pretensões musicais, Bezerra não abandonou a percussão que tocava desde a infância. Por isso, entrou para um bloco carnavalesco. Um dos integrantes o levou para a Rádio Clube do Brasil. Começava assim sua trajetória na MPB, cenário em que se firmou como um cronista bem humorado da malandragem.

Bezerra da Silva é o personagem deste 'Estúdio F'.

Clique no player e ouça o programa:

O 'Estúdio F' aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O “Estúdio F” é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",13828,https://www.funarte.gov.br/estudio-f/estudio-f-bezerra-da-silva/,126,126 - Bezerra da Silva
João Bosco,"João Bosco nasceu em 1946 no interior de Minas Gerais e formou seu primeiro grupo musical com doze anos, logo depois de ganhar seu primeiro violão. Formado em engenharia civil pela Universidade Federal de Ouro Preto, conseguiu gravar seu primeiro disco em 1972, sob a supervisão de Ziraldo e de Sérgio Ricardo.

Este 'Estúdio F' é sobre João Bosco.

Clique no player e ouça o programa:

O 'Estúdio F' aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O “Estúdio F” é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",14019,https://www.funarte.gov.br/estudio-f/estudio-f-joao-bosco/,127,127 - João Bosco
Nei Lopes,"Nei Lopes é o tipo de homem multifuncional. Além de compositor de música popular, ele canta, escreve e ainda pesquisa culturas africanas. Antes de se entregar de vez às canções e à literatura, ele até tentou a advocacia. Chegou a se formar pela Faculdade Nacional de Direito da antiga Universidade do Brasil, atual Universidade Federal do Rio de Janeiro, no início dos anos 1970. Mas, mesmo com o diploma na mão, não teve jeito. A arte falou mais alto, o diploma virou quadro na parede e a MPB ganhou uma obra de qualidade gravada por grandes intérpretes brasileiros.

A primeira composição de Nei Lopes a ser gravada foi “Figa de Guiné” – uma parceria com Reginaldo Bessa que ganhou a voz de Alcione em 1972. Dois anos depois, o trabalho de Lopes ecoou no canto de outra estrela da MPB: Elizeth Cardoso incluiu em seu LP “Feito em Casa” a canção “Igual a Flor” – parceria de Nei com Délcio Carvalho. Este ""Estúdio F"" é uma homenagem a este carioca nascido no Irajá.

Clique no player e ouça o programa:

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e  pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o  programa às terças, às 20h, com reprises aos domingos às 23h. O 'Estúdio  F' é também retransmitido pela Nacional FM de Brasília, aos domingos às  20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o  programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site  http://www.ebc.com.br.",14123,https://www.funarte.gov.br/estudio-f/estudio-f-nei-lopes/,128,128 - Nei Lopes
Vadico,"Paulistano do Brás, nascido em 1910, no seio de uma família de imigrantes italianos, Vadico é o homenageado deste Estúdio F. Aos 18 anos, sagrou-se vitorioso num concurso de marchinhas com ""Isso mesmo é que eu quero"". A partir daí, teve canções gravadas por Francisco Alves, incluídas em filmes e passou a ser parceiro constante de Noel Rosa.

Clique no player e ouça o programa:

O ‘Estúdio F’ aborda a vida e a obra de intérpretes e compositores brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",14341,https://www.funarte.gov.br/estudio-f/estudio-f-vadico/,130,130 - Vadico
Vital Farias,"Vital Farias nasceu em Taperoá, na Paraíba, e foi alfabetizado através da Literatura de Cordel. A música era uma tradição em sua grande família, mas foi sozinho que ele começou a arranhar o violão aos 18 anos. Nessa época, como boa ave de arribação, voou para João Pessoa. Na capital, serviu o Exército e, para sobreviver, participou de diversos conjuntos musicais. Bem na onda do iê iê iê que dominava corações e mentes na época, o principal grupo do qual participou era uma espécie de cover dos Beatles. Mas isso foi febre de juventude. O lance desse artista é valorizar a cultura do seu povo. Daí, composições que mesclam canções nordestinas, sambas de breque, modinhas, xaxados e outros ritmos brasileiríssimos. Este 'Estúdio F' é uma homenagem a ele.

Clique no player e ouça o programa:

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",14342,https://www.funarte.gov.br/estudio-f/estudio-f-vital-farias/,129,129 - Vital Farias
Cazuza,"Agenor Miranda de Araújo Neto nasceu em 4 de abril de 1958. Mas pouca gente sabe que o nome do músico é esse. O rapaz ficou conhecido, desde criança, como Cazuza. Garoto de Ipanema que era, ele não gostava do nome que lhe foi dado pelo pai. Só passou a aceitar o fato mais tarde, ao saber que Cartola, um de seus compositores favoritos, se chamava Angenor.

Hoje, anos após sua morte, o poeta ícone de sua geração continua mais vivo do que nunca. Este 'Estúdio F' é sobre Cazuza.

Clique no player e ouça o programa:

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",14658,https://www.funarte.gov.br/estudio-f/estudio-f-cazuza/,131,131 - Cazuza
Miriam Batucada,"O nome artístico Miriam Batucada é bem merecido. A paulistana nascida em 28 de dezembro de 1947 já tocava harmônica aos seis anos e aos 14 mostrava suas virtudes no violão; mas o que deixava seus admiradores embevecidos era mesmo a capacidade que tinha de batucar no tempo e no ritmo certo - com batidas em sofás, no móveis, na parede e, principalmente, com as mãos. Este 'Estúdio F' é sobre ela.

Clique no player e ouça o programa

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",15221,https://www.funarte.gov.br/estudio-f/estudio-f-miriam-batucada/,132,132 - Miriam Batucada
Núbia Lafayette,"Núbia Lafayette nasceu em Assu, no Rio Grande do Norte, e se mudou com a família aos 3 anos para o Rio de Janeiro. Nascida Idenilde Araújo Alves da Costa, Núbia mostrou desde cedo talento para a música.  Sua carreira começa na década de 1950 com o nome de Nilde Araújo. Só na década seguinte ela adotou o pseudônimo que a deixou nacionalmente conhecida.

Seu primeiro disco teve o samba-canção ""Devolvi"", de Adelino Moreira, compositor de grande importância em sua  vida - foi ele também que sugeriu a mudança de nome. Este 'Estúdio F' é sobre ela.

Clique no player e ouça o programa:

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O 'Estúdio F' é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site  http://www.ebc.com.br.",15318,https://www.funarte.gov.br/estudio-f/estudio-f-nubia-lafayette/,133,133 - Núbia Lafayette
Jerry Adriani,"Jerry Adriani nasceu no Brás, em São Paulo, e ainda menino desconbriu que sua vocação era a música. Além de saber de cor canções italianas ensinadas por sua avó, Dona Carolina, ele aprendeu a tocar acordeon e também teve aulas de canto lírico em
conservatórios do interior de São Paulo.

No início dos anos 1960, na onda de um Roberto Carlos que começava a despontar, o rapaz que na certidão de nascimento é identificado como Jair Alves de Souza resolveu enveredar para rock'n'roll. Nesse momento, Jerry comprou uma guitarra elétrica, trocou de nome e entrou para a história da música popular brasileira. Este 'Estúdio F' é sobre ele.

Clique no player e ouça o programa:

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O 'Estúdio F' é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site  http://www.ebc.com.br.",15647,https://www.funarte.gov.br/estudio-f/estudio-f-jerry-adriani/,134,134 - Jerry Adriani
Leny Andrade,"Leny Andrade é considerada por grande parte da crítica especializada como a maior cantora de jazz brasileira. Este 'Estúdio F' trata da carioca, ainda na infância começou a estudar piano e a se apresentar em programas de calouros. Na adolescência, ela ganhou uma bolsa de estudos para o Conservatório Brasileiro de Música e começou  profissionalmente como crooner na orquestra de Permínio Gonçalves.

Dali para o Beco das Garrafas foi um pulo e, no reduto de boêmios e músicos da Bossa Nova, se destacou ao lado de nomes importantes do movimento musical. Começava então sua invejável trajetória com cerca de 30 discos gravados e shows concorridos no Brasil e no exterior.

Clique no player e ouça o programa:

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",15943,https://www.funarte.gov.br/estudio-f/estudio-f-leny-andrade/,135,135 - Leny Andrade
Jorge Veiga,"Nos idos de 1934, ele trabalhava como pintor de paredes até o dia em que o patrão o ouviu cantando no serviço. Em vez de uma sumária demissão, recebeu o incentivo para se apresentar programa Metrópolis da Rádio Educadora.

O Estúdio F, Série Intérpretes, recebe Jorge Veiga, o caricaturista do samba.

Clique no player e ouça o programa:

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",16601,https://www.funarte.gov.br/estudio-f/estudio-f-jorge-veiga/,136,136 - Jorge Veiga
Carlos Galhardo,"Nas décadas de 1940 e 1950, tempos áureos em que o rádio mobilizava multidões, Carlos Galhardo, com seu bigodinho característico, formava com Silvio Caldas, Francisco Alves e Orlando Silva, o grande quarteto de cantores românticos da época. O Estúdio F apresenta o Rei da Valsa, Carlos Galhardo.

Clique no player e ouça o programa:

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",16735,https://www.funarte.gov.br/estudio-f/estudio-f-carlos-galhardo/,137,137 - Carlos Galhardo
Marília Medalha,"Nadar contra a corrente sempre foi a marca registrada desta artista niteroiense. Em 1965, com apenas 20 anos, ela recusou o convite do amigo Sérgio Mendes para fazer carreira nos Estados Unidos. Ela preferiu seguir para São Paulo e, sob a batuta de Gian Francesco Guarnieri e Augusto Boal, brilhou na histórica montagem de Arena Conta Zumbi.

No pódio do Estúdio F, Marília é medalha de ouro. Clique no player e ouça o programa:

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",16813,https://www.funarte.gov.br/estudio-f/estudio-f-marilia-medalha/,138,138 - Marília Medalha
Alceu Valença,"Em São Bento do Una, entre o agreste e o sertão pernambucano, Alceu Valença, ainda bem criança, deixou-se encantar pelos sons dos cocos, das violas e dos aboios. Aos 5 anos de idade, ele se mudou para o Recife e, a essas suas primeiras influências musicais, incorporou outras como as quadrilhas, o xote, o maracatu, o frevo e até o rock'n'roll. Todas essas características juntas resultaram num artista muito especial. De Alceu Valença queremos o gosto, o sumo e o talento. Estúdio F está no ar!

Clique no player e ouça o programa

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",16973,https://www.funarte.gov.br/estudio-f/estudio-f-alceu-valenca/,139,139 - Alceu Valença
Germano Matias,"No começo da década de 1950, Germano Matias demonstrava seu talento como instrumentista nas baterias de escolas de samba paulistanas. Foi nessa época que ele ouviu o conselho de Toniquinho Batuqueiro, um nome de respeito do samba rural paulista, e decidiu tentar a carreira artística.

Sob o pseudônimo de Barra Funda, ele se inscreveu nos programas de calouros da Rádio Nacional de São Paulo e foi várias vezes premiado. A contratação de Germano Matias pela emissora só não aconteceu porque na época ele servia na artilharia antiaérea. Mas, assim que saiu do exército, Germano fez continência para o samba. O 'Estúdio F' homenageia o catedrático do samba, Germano Matias.

Clique no player e ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e  pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o  programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio  F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às  20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o  programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",17255,https://www.funarte.gov.br/estudio-f/estudio-f-germano-matias/,140,140 - Germano Matias
Aldir Blanc,"Quando garoto no Estácio, Aldir Blanc pensava em ser baterista, compositor popular e escritor. Na juventude, ele abandonou as baquetas , mas, nem a Medicina foi capaz de afastá-lo do ofício de compor. Após um tempo se dividindo entre os estudos e a participação em festivais, em 1973, ele largou de vez a carreira de psiquiatra, para se tornar um dos mais importantes nomes da história da MPB. Vascaíno, salgueirense e sobretudo carioca, Aldir Blanc faz sua crônica da vida no Estúdio F.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e   pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o   programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio   F’ é também retransmitido pela Nacional FM de Brasília, aos domingos  às  20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o   programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",17754,https://www.funarte.gov.br/estudio-f/estudio-f-aldir-blanc/,141,141 - Aldir Blanc
Marina Lima,"Marina Lima nasceu em Ipanema, no Rio de Janeiro, mas morou boa parte da infância e da adolescência nos Estados Unidos. Naquela época – ao ganhar um violão de presente do pai - começou a se interessar pela música. De volta ao Brasil, Marina teve sua música “Meu Doce Amor” gravada por Gal Costa, em 1977. Dois anos depois, lançou seu primeiro disco solo chamado ""Simples Como Fogo"".

Nesse álbum, interpretava, além de composições próprias, músicas de Dolores Duran, Caetano Veloso e Ângela Rô Rô. E, assim, cercada de
qualidade,  Marina atraiu todos os olhares felizes da MPB para si.

-

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",17845,https://www.funarte.gov.br/estudio-f/estudio-f-marina-lima/,142,142 - Marina Lima
Ângela Ro Ro,"O Estúdio F abre as portas para a voz rouca e a risada grave que transformaram Ângela Maria Diniz Gonçalves na identidade secreta da super Ângela Ro Ro.

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.  É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",19761,https://www.funarte.gov.br/estudio-f/estudio-f-angela-ro-ro/,143,143 - Ângela Ro Ro
Guinga,"Compositor reverenciado por grandes nomes da MPB, esse carioca nascido em 10 de junho de 1950 começou a aprender violão intuitivamente aos 13 anos e, aos 17, já tinha música classificada no Festival Internacional da Canção. Aos 25, formou-se em odontologia e, durante bastante tempo, dividiu-se entre as duas atividades. Mas, para felicidade geral da nação, ele agora deixa todo mundo de boca aberta apenas com a beleza de suas incríveis harmonias.

No consultório, ele era o doutor Carlos Althier de Souza Lemos Escobar. No Estúdio F, ele é Guinga, trazendo a genialidade na ponta dos dedos.

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",19874,https://www.funarte.gov.br/estudio-f/estudio-f-guinga/,144,144 - Guinga
Newton Mendonça,"Ele nasceu no subúrbio carioca do Cachambi em  14 de fevereiro de 1927, mas com apenas dois anos de idade mudou-se para o Mato Grosso, acompanhando o pai militar. Voltou para o Rio de Janeiro aos 13 anos e, nessa época, já havia aprendido a tocar piano e violão com a mãe. Nos anos 50, tornou-se Newton Mendonça – o Newton Maestro – criador da Bossa Nova com João Gilberto e Tom Jobim, de quem foi amigo desde a adolescência e primeiro parceiro. Estúdio F está no ar!

Ouça o programa.

O ‘Estúdio F’ aborda a vida e a obra de intérpretes brasileiros e pode ser ouvido também pelo rádio. A Rádio Nacional do Rio transmite o programa às terças, às 20h, com reprises aos domingos às 23h. O ‘Estúdio F’ é também retransmitido pela Nacional FM de Brasília, aos domingos às 20h. A Nacional da Amazônia e a Nacional AM de Brasília transmitem o programa às 23h de domingo.

É possível também ouvir o programa em tempo real no site http://www.ebc.com.br.",20257,https://www.funarte.gov.br/estudio-f/estudio-f-newton-mendonca/,146,146 - Newton Mendonça
