Assuntos;Catalogação Pré MARC;Descrição Física;Entradas Secundárias/Autor;Entradas Secundárias/Série;Notas;Número de chamada;Publicação;Série;Título Principal;Unidade_de_Informação;Endereço Eletrônico;Autor Principal;ISBN;Edição;Outros Títulos;ISSN;Nota de conteúdo;Número de Chamada;Título Uniforme/Original;Coleção;Notas de Resumo;Notas Locais;Acesso Eletrônico;Local e Editora da Publicação;Localização do Artigo;Título do Artigo;Autor do Artigo;Freqüência da Publicação;Título Anterior;Título Chave/Abreviado
Patrimônio cultural. patrimônio imaterial. catolicismo popular. candomblé. cachoeira;;60 p.;;;;363.69098142  C119  IPHAN-PA;Salvador : IPHAN 7ª SR, 2007.;;CACHOEIRA : vivências e compreensões do patrimônio cultural;IPHAN-PA(571);;;;;;;;;;;;;;;;;;;;
Patrimônio imaterial  Iauaretê;;148 p.;;;;980.41  I59c  IPHAN-PA;Brasília : Iphan, 2007.;"(Dossiê Iphan) ; (7)";Cachoeira de Iauaretê : lugar sagrado dos povos indígenas dos Rios Uaupés e Papuri (AM) / Instituto do Patrimônio Histórico e Artístico Nacional (Brasil);IPHAN-PA(571);Imagem;Instituto do Patrimônio Histórico e Artístico Nacional (Brasil);ISBN 9788573340853;;;;;;;;;;;;;;;;;
Bens tombados;;124 p.;;Caderno de Estudos do PEP;;363.69  I59c  IPHAN-PA;Rio de Janeiro : COPEDOC, 2007.;(Caderno de Estudos do PEP);Caderno de estudo do PEP : Entorno de bens tombados 2007;IPHAN-PA(571);;Brasil. Iphan;;;;;;;;;;;;;;;;;;
Patrimônio histórico. preservação. conservação e restauração. identidade cultural. patrimônio cultural;;206 p.;;Cadernos de Estudos do PEP;;363.69  I59c  IPHAN-PA;Rio de Janeiro : IPHAN/ Copedoc/ DAF, 2009.;(Cadernos de Estudos do PEP  n.8);Caderno de estudos do PEP : contribuição dos palestrantes da 8ª oficina PEP/IPHAN Petrópolois;IPHAN-PA(571);;Brasil. Iphan;ISBN 9788573341577;;;;;;;;;;;;;;;;;
Patrimônio cultural. programa de especialização em patrimônio. bibliografia;;50 p.;;;;363.69  I59c  IPHAN-PA;Brasília : Iphan, [2 - -].;;Caderno de estudos do PEP : cronologia e bibliografia das práticas de preservação;IPHAN-PA(571);;Brasil Iphan;;;;;;;;;;;;;;;;;;
Patrimônio cultural. preservação. programa de especialização em patrimônio;;50 p.;;;;363.69  I59c  Ex: 02  IPHAN-PA;Brasília : Iphan, 2006.;;Caderno de estudos do PEP : cronologia e bibliografia das práticas de preservação;IPHAN-PA(571);;Brasil. Iphan;;;;;;;;;;;;;;;;;;
Patrimônio cultural. educação patrimnial. preservação. conservação;;Não aginado p.;;;;363.69  I59c  IPHAN-PA;"Rio de Janeiro : IPHAN; COPEDOC, 2006.";;Cadernos de estudos do PEP : contribuição dos palestrantes da 1ª oficina PEP 2005;IPHAN-PA(571);;Brasil. Iphan;;;;;;;;;;;;;;;;;;
Patrimonio. preservação. oficina. goiânia;;148 p.;;;Programa de Especialização em Patrimônio;363.69  I59c  IPHAN-PA;Rio de Janeiro : IPHAN, COPEDOC, 2008.;;Cadernos de estudos do PEP : contribuição dos palestrantes da 1ª oficina PEP 2007 ? Goiânia e oficina PEP 2008 ? Vassouras;IPHAN-PA(571);;Brasil. Iphan;;;;;;;;;;;;;;;;;;
Programa de especialização em patrimonio. oficina. vassouras;;110 p.;;;;363.69  I59c  IPHAN-PA;Rio de Janeiro : COPEDOC, IPHAN, 2007.;;Cadernos de estudos do PEP : contribuição dos palestrantes da 1ª oficina PEP 2007 ? Vassouras;IPHAN-PA(571);;Brasil. Iphan;;;;;;;;;;;;;;;;;;
Patrimonio. preservação. conservação. restauração. cronologia. bibliografia;;52 p.;;;;363.69  I59c  IPHAN-PA;Rio de Janeiro : IPHAN, COPEDOC, 2007.;;Cadernos de estudos do PEP : cronologia e bibliografia das práticas de preservação do patrimônio cultural;IPHAN-PA(571);;Brasil. Iphan;;;;;;;;;;;;;;;;;;
Paisagem cultural. programa de especilização em patrimônio. unesco. convenção européia da paisagem;;65 p.;;;;363.69  I59c  Ex: 01  IPHAN-PA;Brasília : Iphan, 2006.;;Cadernos de estudos do PEP : paisagem cultural e patrimônio;IPHAN-PA(571);;Brasil. Iphan;;;;;;;;;;;;;;;;;;
Patrimônio cultural. educação patrimônial. oficina. vassoura;;Não aginado p.;;;;363.69  I59p  IPHAN-PA;Rio de Janeiro : IPHAN, COPEDOC, [2006].;;Cadernos do patrimônio : contribuição dos palestrantes da 1ª oficina PEP 2006;IPHAN-PA(571);;Brasil Iphan;;;;;;;;;;;;;;;;;;
Hábitos alimentares. café  histórico. café  lenda.;;15 p.;;;;641.33738162  I59c  IPHAN-PA;Lapa, PR : Museu Casa Lacerda, 1994.;;O Café com mistura na Lapa;IPHAN-PA(571);;Brasil. Iphan;;;;;;;;;;;;;;;;;;
Patrimônio cultural  Pirenópolis (GO)  Educação patrimonial;;"60  p. : il.; color";;;;370.08173  P922c  IPHAN-PA  981.51  C183c  IPHAN-AP;Pirenópolis, GO : IPHAN, MONUMENTA, [s.d].;;Caminhos de Pirenópolis / PREGNOLATTO, Daraína (Org.);IPHAN-PA(571);;;;;;;;;;;;;;;;;;;;
Ceará  Literatura infantojuvenil  Patrimônio cultural;;42 p. :;Lima, Aline Silva    Detalhesorg.  Xavier, Patrícia Pereira  org.;;;028.5  C232  IPHAN-PA  IPHAN-ES  808.899282  C232  IPHAN-SC;Fortaleza : Iphan, 2017.;;O canto das garças me contou : manual do professor / Organização, Aline Silva Lima, Patrícia Pereira Xavier;IPHAN-PA(571);Imagem;;;;;;;;;;;;;;;;;;;
Ceará  Literatura infantojuvenil  Patrimônio cultural;;"120  p. : il. color. ; 23 cm";Lima, Aline Silva    Detalhesorg.  Xavier, Patrícia Pereira  org.;;;363.69098131  C232  2017  IPHAN-SC  028.5  C232  IPHAN-ES  IPHAN-SP  IPHAN-PR  028.5  C232  IPHAN-PA;Fortaleza : Iphan, 2017.;;O canto das garças me contou / Organização, Aline Silva Lima, Patrícia Pereira Xavier;IPHAN-PA(571);Imagem;;ISBN 9788573343199;;;;;;;;;;;;;;;;;
"Rio de janeiro; artista popular  reciclagem; artesanato em papel";;36 p.;Waldeck, Guacira (org.);Sala do Artista Popular,180;;745  U48  IPHAN-PA;"Rio de Janeiro : IPHAN; CNFCP, 2013.";(Sala do Artista Popular,180);UM CANTO no mundo : Sérgio Cezar;IPHAN-PA(571);;;;;;;;;;;;;;;;;;;;
Capela de são josé  Restauração  Conservação;;24 p.;;Obras de restauração;;726.5098142  I59  IPHAN-PA;Salvador : IPHAN, MinC, 2005.;(Obras de restauração);Capela de São José : uma ação educativa: Vila de Jenipapo ? Castro Alves, Bahia;IPHAN-PA(571);;Instituto do Patrimônio Histórico E Artistico Nacional;;;;;;;;;;;;;;;;;;
Tocantins. artesãos  Vegetal  Fibra  Artesanato. artistas populares  Tocantins. trançado;;36 p.;;Sala do artista popular, 145;;746.7  B426c  IPHAN-PA;Rio de Janeiro : IPHAN, CNFCP, 2008.;(Sala do artista popular, 145);Capim dourado : costuras e trançados do Jalapão /;IPHAN-PA(571);;Belas, Carla Arouca.;;;;;;;;;;;;;;;;;;
"Alagoas; artista popular  Arte popular  escultor; favela  Artesanato em madeira";;36 p.;;Sala do Artista Popular, 177;Catálogo etnografico lançado por ocasião da exposição realizado no período de 13 de novembro a 16 de dezembro de2012;745.5  C244  IPHAN-PA;"Rio de Janeiro : IPHAN; CNFCP, 2012.";(Sala do Artista Popular, 177);CAPITAIS e favelas : Raimundo Batista;IPHAN-PA(571);;;;;;;;;;;;;;;;;;;;
Capoeira  Patrimônio imaterial;;53 p. : il. color.;Araújo, Jefferson Dias de  org.  Mota, Dagoberto Luis Ventura  org.  Couceiro, Marcio Akira  org.;;;398.09114  C733c  IPHAN-PA;Boa Vista : Iphan, 2019.;;Capoeira em Roraima : mapeamento dos grupos / Comitê Gestor da Salvaguarda da Capoeira de Roraima, Organizadores Jefferson Dias de Araújo, Dagoberto Luís Ventura Mota, Marcio Akira Couceiro;IPHAN-PA(571);Imagem;;ISBN 9788573343595;;;;;;;;;;;;;;;;;
Capoeira  Patrimônio cultural - proteção  Roraima;;"150  p. : il. color. ; 22 cm + + 1 CD";Araújo, Jefferson Dias de  org.  Couceiro, Marcio Akira  org.  Mota, Dagoberto Luis Ventura  org.;;;793.31  C733c  2018  IPHAN-SC  IPHAN-PA  IPHAN-PR  793.31  C245  IPHAN-ES  793.31  C733c  CDP (Brasília)  398  C733c  IPHAN-SP  793.31  C245  IPHAN-PA;Boa Vista : Iphan, 2018.;;"Capoeira em Roraima : vou contar a minha história / Comitê Gestor da Salvaguarda da Capoeira de Roraima; organizadores, Dagoberto Luís Ventura Mota, Jefferson Dias de Araújo, Márcio Akira Couceiro";IPHAN-PA(571);Imagem;;ISBN 9788573343304;;;;;;;;;;;;;;;;;
Paraguai  Guerra  Constant, benjamin  1836 - 1891 - correspondências  1864 - 1870;;220 p.;;;;989.205  L558c  IPHAN-PA;Rio de Janeiro : Iphan, 1999.;;Cartas da guerra : Benjamin Constant na campanha do Paraguai /;IPHAN-PA(571);;Lemos, Renato;;;;;;;;;;;;;;;;;;
Patrimônio cultural;;384 p.;Cury, Isabelle  org.;Edições do Patrimônio;;354  C322  2. ed.  IPHAN-PA;Rio de Janeiro : Iphan, 2000.;(Edições do Patrimônio);Cartas patrimoniais;IPHAN-PA(571);;;;2. ed.;;;;;;;;;;;;;;;;
Patrimônio cultural;;360 p.;;Caderno de documentos, 3;;354  C322  IPHAN-PA;Brasília : Iphan, 1995.;(Caderno de documentos, 3);Cartas patrimoniais;IPHAN-PA(571);;Brasil Iphan;;;;;;;;;;;;;;;;;;
Gira. maceió. memória. tradição. sociedade alagoana. cultura imaterial;;37 p.;;;Cartilha;469.7  C327c  IPHAN-PA;Rio de Janeiro : IPHAN, INPI, 2007.;;Cartilha didática gira da tradição;IPHAN-PA(571);;;;;;;;;;;;;;;;;;;;
Antropologia  Cultos afro-brasileiros;;191 p.;Valle, Camila do  org.  [et al.];;;MA 39(811.51) V181C  2012  IPHAN-MA  299.6  C328  IPHAN-PA;Belém : Iphan, 2012.;;Cartografia social dos afrorreligiosos em Belém do Pará: religiões afro-brasileiras e ameríndias da Amazônia: afirmando identidades na diversidade / [organização Camila do Valle et al];IPHAN-PA(571);;;ISBN 9788599274217;;;;;;;;;;;;;;;;;
Religião. culto afro. cultura popular maranhense;;24 p.;;;;363.69098121  C334c  IPHAN-PA;São Luis : Iphan, 2008.;;Casa das minas : querebentã de zomadônu;IPHAN-PA(571);;Bogéa, Kátia Santos.;;;;;;;;;;;;;;;;;;
Terreiros de camdomblé  brasileiras  afro;;22 p.;;;;299.6  C334  IPHAN-PA;Aracaju : Iphan, 2011.;;CASA de Ti Herculano : lugar de nagô em Laranjeiras;IPHAN-PA(571);;;;;;;;;;;;;;;;;;;;
Arquiteta  Lina bo bardi  Arquitetura  Arquitetura brasileira;;"48  p. : il. ; 17 cm";Ferraz, Marcelo Carvalho  org.;Coleção Lina Bo Bardi;Esta publicação faz parte das comemorações do centenário de nascimento de Lina Bo Bardi (1914 - 2014).;721  B246c  2. ed. rev. e ampl.  IPHAN-ES  721  B246c  CDP (Brasília)  721  B246cc  2. ed.  IPHAN-SP  721  B246c  2. ed.  IPHAN-PA;São Paulo : Iphan : Edições SESC - SP, 2015.;(Coleção Lina Bo Bardi);"Casa de vidro : São Paulo, Brasil : 1950-1951 / Lina Bo Bardi (autor); Marcelo Carvalho Ferraz (org.)";IPHAN-PA(571);Imagem;Bardi, Lina Bo   1914-1992;ISBN 9788579951831;2. ed. rev. e ampl.;The glass house;;;;;;;;;;;;;;;
Educação patrimonial  Artesanato  Patrimônio cultural  Candomblé;;72 p.;;Preservação e desenvolvimento, 5;;370.11  C334  IPHAN-PA;Brasília : IPHAN, Programa Monumenta, 2007.;"(Preservação e desenvolvimento ; 5)";Casa dos objetos mágicos : Salvador-BA;IPHAN-PA(571);Imagem;;ISBN 9788573340501;;;;;;;;;;;;;;;;;
Casa do patrimonio  Educação patrimonial;;96 p.;;;;370.115  G182c  IPHAN-PA;Brasília : Iphan, 2010.;;Casas do Patrimônio /;IPHAN-PA(571);;Galvão, Marco Antônio Pereira;ISBN 97885733412720;;;;;;;;;;;;;;;;;
Literatura de cordel  Catalogação descritiva;;31 p.;Pinto, Maria Rosário de Fátima  textos;;;025.34  C322  CDP (Brasília)  025.3  C357  IPHAN-PA;Rio de Janeiro : Iphan/CNFCP: Funarte, 2002.;;Catalogação de folhetos de cordel / Pinto, Maria Rosário de Fátima (Texto);IPHAN-PA(571);;;ISBN 85-7507-032-0;;;;;;;;;;;;;;;;;
Patrimônio imaterial. cultura popular. danças populares. patrimônio cultural;;94 p.;;Encontros e estudos, 5;;390  C392c  IPHAN-PA;Rio de Janeiro : CNFCP, IPHAN, 2004.;(Encontros e estudos, 5);CELEBRAÇÕES e saberes da cultura popular : : pesquisa, inventário, crítica, perspectivas;IPHAN-PA(571);;;;;;;;;;;;;;;;;;;;
História. teatro são joão  Lapa (PR)  Paraná  Teatro;;22 p.;;;Consulta local;729.8162  L131c  IPHAN-PA;Curitiba : Iphan, 2007.;;Cenários e cenas da história do Teatro São João /;IPHAN-PA(571);;Lacerda, Maria Theresa Brito De.;;;;;;;;;;;;;;;;;;
"Mato Grosso  Artesanato em barro; cerâmica; artistas populares";;36 p.;Santos, Elizete Ignácio (Org.);Sala do Artista Popular,extrassérie;Catálogo da exposição realizada no período de 30 de setembro a 30 de outubro de 2010;738  C411  IPHAN-PA;"Rio de Janeiro : IPHAN; CNFCP, 2010.";(Sala do Artista Popular,extrassérie);CERÂMICA de São Gonçalo Beira Rio;IPHAN-PA(571);;;;;;;;;;;;;;;;;;;;
Cerâmica  Restauração  Cerâmica guarani;;175 p.;;;;738.0981  S235c  IPHAN-PA;São Miguel, RS : Iphan, 2006.;"(Série Cooperação) ; (29)";A cerâmica Guarani e Guarani missioneira: curso de restauração da cerâmica sul-americana;IPHAN-PA(571);;Santinelli, Cecília;;;;;;;;;;;;;;;;;;
Cerâmica. artesanato em barro. cultura indigina. mato grosso do sul;;32 p.;;Sala do artista popular, 116;;738. 098171  B238c  IPHAN-PA;Rio de Janeiro : FUNARTE, IPHAN, 2003.;(Sala do artista popular, 116);Cerâmica Terena /;IPHAN-PA(571);;Barbosa, Wallace de Deus;;;;;;;;;;;;;;;;;;
Cerâmica - brasil  Arqueologia - amazônia - história;;668  p. : il.;Barreto, Cristiana, 1958-  org.  1958-  Betancourt, Carla Jaimes  org.  Lima, Helena Pinto  org.;;;738.098115  IPHAN-AP  738.098115  C411  CDP (Brasília)  930.981  C411c  IPHAN-SP  738.098115  C411  IPHAN-PA;Belém : Iphan, 2016.;;Cerâmicas arqueológicas da Amazônia : rumo a uma nova síntese / Cristiana Barreto, Helena Pinto Lima, Carla Jaime Betancourt (org.);IPHAN-PA(571);Imagem;;ISBN 9788561377830;;;;;;;;;;;;;;;;;
Chapada diamantina (ba)  Cidades históricas;;76 p.;;Preservação e desenvolvimento, 11;;981.42  C462  IPHAN-PA;Brasília : IPHAN/Monumenta, 2008.;"(Preservação e desenvolvimento ; 11)";Chapada Diamantina: Lençóis-BA;IPHAN-PA(571);;;ISBN 9788573340860;;;;;;;;;;;;;;;;;
Goiás (Estado)  Reconstrução  Goiás - Levantamento emergencial;;19 p.;;;Consulta local;711.4098151  C569  IPHAN-PA;Goiás : IPHAN, MinC, 2001.;;CIDADE de Goiás : reconstrução de vida;IPHAN-PA(571);;;;;;;;;;;;;;;;;;;;
Cidades históricas;;43 p.;Weissheimer, Maria Regina  org.;;;363.690981  C568  IPHAN-PA;Brasília : Iphan, 2009.;;Cidades Históricas / [organização Maria Regina Weissheimer];IPHAN-PA(571);;;;;;;;;;;;;;;;;;;;
Cidade histórica. centro histórico. inventário. parati;;268 p.;;Edições do Senado Federal, 84;;363.69098153  I59c  IPHAN-PA;Brasília : Iphan, 2007.;(Edições do Senado Federal, 84);"Cidades históricas; inventário e pesquisa : Parati";IPHAN-PA(571);;Brasil. Iphan;;;;;;;;;;;;;;;;;;
Cidade histórica. centro histórico. são luis;;572 p.;;Edições do Senado Federal, 84;;363.69098121  I59c  IPHAN-PA;Brasília : Iphan, 2007.;(Edições do Senado Federal, 84);"Cidades históricas; inventário e pesquisa : São Luis";IPHAN-PA(571);;Brasil. Iphan;;;;;;;;;;;;;;;;;;
Cidade histórica. centro histórico. tiradentes;;184 p.;;Edições do Senado Federal, 83;;363.69098151  I59c  IPHAN-PA;Brasília : Iphan, 2007.;(Edições do Senado Federal, 83);"Cidades históricas; inventário e pesquisa : Tiradentes";IPHAN-PA(571);;Brasil. Iphan;;;;;;;;;;;;;;;;;;
Festa religiosa  Círio de nazaré;;56 p.;Carvalho, Luciana  org.;Encontros e estudos, 10;;394.2898115  C578  IPHAN-PA;"Rio de Janeiro : Iphan; CNFCP, 2005.";"(Encontros e estudos ; 10)";Círio / Organização de Luciana Carvalho;IPHAN-PA(571);;;ISBN 8573340223;;;;;;;;;;;;;;;;;
Círio de nazaré  Nossa senhora de nazaré  Festas religiosas;;43 p.;Lima, Maria Dorotéa de;;Catálogo da exposição realizada no Espaço Cultural Canto do Patrimônio, em Belém, de 13 de outubro de 2005 a 8 de janeiro de 2006.;394.2682  C331c  2. reimpr.  IPHAN-PA;[Rio de Janeiro] : Centro Nacional de Folclore e Cultura Popular, [Belém] : Iphan, 2006.;;Círio : [concepção, pesquisa e texto Luciana Carvalho e Maria Dorotéa de Lima];IPHAN-PA(571);;Carvalho, Luciana;;2. reimpr.;;;;;;;;;;;;;;;;
Círio de nazaré  Nossa senhora de nazaré  Festas religiosas;;43 p.;Lima, Maria Dorotéa de;;Catálogo da exposição realizada no Espaço Cultural Canto do Patrimônio, em Belém, de 13 de outubro de 2005 a 8 de janeiro de 2006.;394.2682  C331c  IPHAN-PA;[Rio de Janeiro] : Centro Nacional de Folclore e Cultura Popular, Iphan, [2005].;;Círio : [concepção, pesquisa e texto Luciana Carvalho e Maria Dorotéa de Lima];IPHAN-PA(571);;Carvalho, Luciana;;;;;;;;;;;;;;;;;;
Círio de nazaré. patrimônio imaterial. festa religiosa. procissão religiosa;;104 p.;;Dossiê Iphan;;394.2698115  I59  IPHAN-PA;Rio de Janeiro : Iphan, 2006.;(Dossiê IPHAN, I);Círio de Nazaré;IPHAN-PA(571);;Instituto do Patrimônio Histórico e Artístico Nacional;;;;;;;;;;;;;;;;;;
Festas religiosas  Círio de nazaré - pará  Patrimônio imaterial;;2 v. : il.;;;Inclui fita VHS;306  D724  CDP (Brasília)  394.2682  C578  IPHAN-PA;Belém : Iphan-PA, 2004.;;Círio de Nazaré : dossiê;IPHAN-PA(571);;;;;;;;;;;;;;;;;;;;
Círio de nazaré  Festas religiosas  Pará;;il. color.;;;Bilíngue;394.2682  C578  IPHAN-PA  306.5363981  C578  IPHAN-AP;Belém : Iphan, [200-].;;Círio de Nossa Senhora de Nazaré;IPHAN-PA(571);;;;;;;;;;;;;;;;;;;;
Arqueologia  Santa Catarina  Inventário;;"115 p. : il. ; 21 cm";Farias, Deisi Scunderlick Eloy de  texto  Souza, Margareth de Lourdes    Detalhesorg.;;;930.1  C691  IPHAN-PA  IPHAN-PR  IPHAN-SP  CDP (Brasília)  IPHAN-ES;Brasília : Iphan, 2018.;;"Coleção arqueológica Pe. João Alfredo Rohr em Brasília / Margareth de Lourdes Souza, organização ; Deisi Scunderlick Eloy de Farias ... [et al.], textos";IPHAN-PA(571);Imagem;;ISBN 9788573343403;;;;;;;;;;;;;;;;;
Edições do patrimônio  Patrimônio cultural;;320 p.;;;;363.690981  I59c  IPHAN-PA;Rio de Janeiro : Iphan, 2006.;;Coletânea de leis sobre preservação do patrimônio;IPHAN-PA(571);;Instituto do Patrimônio Histórico e Artístico Nacional;;;;;;;;;;;;;;;;;;
Paisagem cultural  Patrimônio cultural  Preservação do patrimônio;;501 p.;;;;363.69  C719c  IPHAN-PA;Brasília : Iphan, 2017.;"(Anais) ; (6)";1º Colóquio Ibero-americano Paisagem Cultural, Patrimônio e Projeto / 1º Colóquio Ibero-americano Paisagem Cultural, Patrimônio e Projeto;IPHAN-PA(571);;Colóquio Ibero-Americano paisagem cultural, patrimônio e projeto   (Belo Horizonte - MG   2010) :;ISBN 9788573343106;;;;;;;;;;;;;;;;;
Administração pública. educação. ministério da educação e saúde;;336 p.;Sá, Paulo Sérgio Moraes de;;;354.810651  C715  IPHAN-PA;Rio de Janeiro : MinC, IPHAN, 1996.;;Colunas da educação : a construção do Ministério da Educação e Saúde /;IPHAN-PA(571);;Lissovsky, Mauricio;;;;;;;;;;;;;;;;;;
Antropologia. patrimônio cultural. comunidade tropicais. quilombos. cultura popular. santa catarina;;76 p.;Godoy, Clayton Peron Franco de;;;315.555  G589c  IPHAN-PA;Florianópolis : IPHAN 11ª SR, 2008.;;Comunidades negras de Santa Catarina;IPHAN-PA(571);;Rabelo, Marcos Monteiro (orgs.);;;;;;;;;;;;;;;;;;
"Instrumento musical  Confecção artesanal; artistas populares  Região sudeste";;44 p.;Pimentel, Alexandre (Org.);Sala do Artista Popular,extrassérie;Catálogo da exposição realizada no período de 14 de outubro a 19 de dezembro de 2010;738  C748  IPHAN-PA;"Rio de Janeiro : IPHAN; CNFCP, 2010.";"(Sala do Artista Popular ; extrassérie)";A confecção de instrumentos musicais no fandango caiçara;IPHAN-PA(571);;;;;;;;;;;;;;;;;;;;
Educação patrimonial. serra da capivara. patrimonio cultural;;40 p.;Oliveira, Ana Stela de Negreiros;;;372.35798122  C743  IPHAN-PA;Teresina : Iphan, 2008.;;Conhecendo o nosso patrimônio /;IPHAN-PA(571);;Rodrigues, Marian Helen S.g.;;;;;;;;;;;;;;;;;;
Educação patrimonial. bens culturais. goiás;;58 p.;Vasques, Claudia Marina de  Leonel, Maria Elisa de Moraes;Patrimônio Cultural. Públicação Técnica, 1;;344.094  L583c  IPHAN-PA;Brasília : Iphan, 1995.;(Patrimônio Cultural. Públicação Técnica, 1);Conhecer para preservar, preservar para conhecer : um projeto de educação patrimonial /;IPHAN-PA(571);;Ferreira, Maria Cristina Portugal;;;;;;;;;;;;;;;;;;
Bahia  Patrimônio cultural. cachoeira;;240 p.;Flexor, Maria Helena O.  org.;;;720.288  C743  IPHAN-PA;Brasília : IPHAN, MONUMENTA, 2007.;;O conjunto do Carmo de Cachoeira / Maria Helena O. Flexor, organizadora;IPHAN-PA(571);;;ISBN 9788573340587;;;;;;;;;;;;;;;;;
Patrimônio cultural. tombamento. patrimônio histórico. parnaiba;;38 p.;;;;363.69098122  I59c  IPHAN-PA;Teresina : Iphan, 2008.;;Conjunto histórico e Paisagistico de Parnaiba;IPHAN-PA(571);;Costa, Andréa Virginia Freire (org.);;;;;;;;;;;;;;;;;;
paisagistico. parnaiba. arquitetuta  Tombamento. conjunto histórico  Piauí;;100 p.;Pinheiro, Aurea;Cadernos do Patrimônio Cultural do Piauí, V. 2;;363.69098122  P654c  IPHAN-PA;Teresina : Iphan, 2010.;(Cadernos do Patrimônio Cultural do Piauí, V. 2);Conjunto histórico e paisagistico de Parnaíba;IPHAN-PA(571);;Moura, Cássia (orgs.);;;;;;;;;;;;;;;;;;
Projeto de cantaria. escultura em pedra. monumentos. madeira. materias de construção. conservação e restauração;;86 p.;;;;721.0441  A447c  IPHAN-PA;Brasília : Iphan, 2005.;;Conservação de cantarias : manual /;IPHAN-PA(571);;Almeida, Frederico Faria Neves;;;;;;;;;;;;;;;;;;
telhado. construção civil. conservação  Restauração;;88 p.;;;;721.50202  L299c  IPHAN-PA;Brasília : Iphan, 2005.;;Conservação de telhados : manual /;IPHAN-PA(571);;La Pastina Filho, José;;;;;;;;;;;;;;;;;;
Serra da capivara;;126 p.;Figueiredo, Diva;;Consulta local;363.698122  C755  IPHAN-PA;Teresina : Iphan, 2006.;;Consolidação estrutural da Toca da entrada do Pajú : diagnósticos e propostas de intervenção;IPHAN-PA(571);;Puccioni, Silvia (orgs.);;;;;;;;;;;;;;;;;;
História. aracati  Município.;;160 p.;Silva, Raulene Gonçalves Oliveira Da.;Projeto Infância e Patrimônio;;370.098131  S586c  1. ed.  IPHAN-PA;"Fortaleza : Demócrito Rocha; IPHAN; Minc, 2011.";(Projeto Infância e Patrimônio);Construindo Aracati /;IPHAN-PA(571);;Mariz, Silviana Fernandes;ISBN 9788575295069;1. ed.;;;;;;;;;;;;;;;;
"Icó  história; educação patrimonial; cultura  Município";;160 p.;;Projeto Infância e Patrimônio;;370.098131  S237c  1  IPHAN-PA;"Fortaleza : Edições Demócrito Rocha; IPHAN, 2011.";(Projeto Infância e Patrimônio);Construindo Icó /;IPHAN-PA(571);;Santos, Lidia Noemia;ISBN 9788575295076;1. ed.;;;;;;;;;;;;;;;;
"história; educação patrimonial; cultura  Quixadá  Município";;156 p.;;Projeto Infância e Patrimônio;;370.098131  S237c  1  IPHAN-PA;"Fortaleza : Edições Demócrito Rocha; IPHAN, 2011.";(Projeto Infância e Patrimônio);Construindo Quixadá /;IPHAN-PA(571);;Santos, Lídia Noemia;ISBN 9788575295083;1. ed.;;;;;;;;;;;;;;;;
História. sobral  Município;;156 p.;Galvão, Roberto  Santos, Lidia Noemia;Projeto Infância e Patrimônio;Ensino Fundamental I;370.098131  S237c  1. ed.  IPHAN-PA;"Fortaleza : Demócrito Rocha; IPHAN; Minc, 2011.";(Projeto Infância e Patrimônio);Construindo Sobral /;IPHAN-PA(571);;Araújo, Nicolai Vladimir Gonçalves de;ISBN 9788575295090;1. ed.;;;;;;;;;;;;;;;;
"Viçosa do ceará  história; educação patrimonial";;160  p.;Chaves, Rosa Lilian Sérvio de Carvalho  Viana, Monalisa Freitas;Projeto Infância e Patrimônio;;370.098131  V845c  1  IPHAN-PA;Fortaleza : Edições Demócrito Rocha, Fortaleza : Iphan, 2011.;(Projeto Infância e Patrimônio);Construindo Viçosa do Ceará /;IPHAN-PA(571);;Vitoriano, Germana Coelho;ISBN 9788575295106;1. ed.;;;;;;;;;;;;;;;;
Educação patrimonial  Teatro de bonecos;;60 p.;;Preservação e desenvolvimento, 9;;370.115  C759  IPHAN-PA;Brasília : Iphan/Programa Monumenta, 2008.;"(Preservação e desenvolvimento ; 9)";Contadores de estórias : Paraty ? RJ;IPHAN-PA(571);;;ISBN 9788573340662;;;;;;;;;;;;;;;;;
Convento franciscano. restauração;;309 p.;;Grandes Obras e intervenções, 2;;290  A693c  IPHAN-PA;Brasília : Programa Monumenta, IPHAN, 2009.;(Grandes Obras e intervenções, 2);O Convento franciscano de Cairu : restauração de elementos artísticos /;IPHAN-PA(571);;Argolo, José Dirson;ISBN 9788573341218;;;;;;;;;;;;;;;;;
